Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q9LQ12	reviewed	4CLL1_ARATH	4-coumarate--CoA ligase-like 1 (EC 6.2.1.12) (4-coumarate--CoA ligase isoform 10) (At4CL10)	4CLL1 ACOS5 At1g62940 F16P17.9	Arabidopsis thaliana (Mouse-ear cress)	542
Q9LU36	reviewed	4CL4_ARATH	4-coumarate--CoA ligase 4 (4CL 4) (EC 6.2.1.12) ((E)-ferulate--CoA ligase) (EC 6.2.1.34) (4-coumarate--CoA ligase isoform 5) (At4CL5) (4-coumaroyl-CoA synthase 4) (Sinapate--CoA ligase) (EC 6.2.1.-)	4CL4 At3g21230 MXL8_9	Arabidopsis thaliana (Mouse-ear cress)	570
Q9S725	reviewed	4CL2_ARATH	4-coumarate--CoA ligase 2 (4CL 2) (EC 6.2.1.12) (4-coumarate--CoA ligase isoform 2) (At4CL2) (4-coumaroyl-CoA synthase 2) (Caffeate--CoA ligase) (EC 6.2.1.-)	4CL2 At3g21240 MXL8.10	Arabidopsis thaliana (Mouse-ear cress)	556
Q9S777	reviewed	4CL3_ARATH	4-coumarate--CoA ligase 3 (4CL 3) (EC 6.2.1.12) ((E)-ferulate--CoA ligase) (EC 6.2.1.34) (4-coumarate--CoA ligase isoform 3) (At4CL3) (4-coumaroyl-CoA synthase 3)	4CL3 At1g65060 F16G16.6	Arabidopsis thaliana (Mouse-ear cress)	561
A0A811RGS9	unreviewed	A0A811RGS9_9POAL	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	NCGR_LOCUS52334	Miscanthus lutarioriparius	1051
M4ISH0	reviewed	CCL1_HUMLU	4-coumarate--CoA ligase CCL1 (HlCCL1) (EC 6.2.1.12)	CCL1	Humulus lupulus (European hop)	548
Q7XXL2	reviewed	4CLL9_ORYSJ	4-coumarate--CoA ligase-like 9 (EC 6.2.1.12)	4CLL9 Os04g0310700 LOC_Os04g24530 OsJ_013660 OSJNBa0033H08.6	Oryza sativa subsp. japonica (Rice)	555
Q84P26	reviewed	4CLL8_ARATH	4-coumarate--CoA ligase-like 8 (EC 6.2.1.12) (4-coumarate--CoA ligase isoform 11) (At4CL11)	4CLL8 At5g38120 MXA21.23 MXA21_10	Arabidopsis thaliana (Mouse-ear cress)	550
A0A059Q0Q2	unreviewed	A0A059Q0Q2_9POAL	Acetyl-coenzyme A synthetase (EC 6.2.1.1)	SHCRBa_222_J24_F_140	Saccharum hybrid cultivar R570	706
A0A059Q236	unreviewed	A0A059Q236_9POAL	Acetyl-coenzyme A synthetase (EC 6.2.1.1)	SHCRBa_166_F02_R_170	Saccharum hybrid cultivar R570	707
A0A059Q2M4	unreviewed	A0A059Q2M4_9POAL	Acetyl-coenzyme A synthetase (EC 6.2.1.1)	SHCRBa_224_E06_R_400	Saccharum hybrid cultivar R570	695
A0A059Q339	unreviewed	A0A059Q339_9POAL	Acetyl-coenzyme A synthetase (EC 6.2.1.1)	SHCRBa_172_K24_R_340	Saccharum hybrid cultivar R570	707
A0A077RR28	unreviewed	A0A077RR28_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	TRAES_3BF051200130CFD_c1	Triticum aestivum (Wheat)	658
A0A096PQY2	unreviewed	A0A096PQY2_MAIZE	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	103632349 ZEAMMB73_Zm00001d044016	Zea mays (Maize)	655
A0A0D3F5U5	unreviewed	A0A0D3F5U5_9ORYZ	Acetyl-coenzyme A synthetase (EC 6.2.1.1)		Oryza barthii	705
A0A0D3FU26	unreviewed	A0A0D3FU26_9ORYZ	4-coumarate--CoA ligase (EC 6.2.1.12)		Oryza barthii	584
A0A0D3FWZ1	unreviewed	A0A0D3FWZ1_9ORYZ	4-coumarate--CoA ligase (EC 6.2.1.12)		Oryza barthii	2414
A0A0D3G2W4	unreviewed	A0A0D3G2W4_9ORYZ	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Oryza barthii	679
A0A0D3HRC8	unreviewed	A0A0D3HRC8_9ORYZ	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Oryza barthii	716
A0A0D3HRC9	unreviewed	A0A0D3HRC9_9ORYZ	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Oryza barthii	707
A0A0D9V3P1	unreviewed	A0A0D9V3P1_9ORYZ	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Leersia perrieri	597
A0A0D9V5Y5	unreviewed	A0A0D9V5Y5_9ORYZ	4-coumarate--CoA ligase (EC 6.2.1.12)		Leersia perrieri	646
A0A0D9W660	unreviewed	A0A0D9W660_9ORYZ	4-coumarate--CoA ligase (EC 6.2.1.12)		Leersia perrieri	2428
A0A0D9WBC8	unreviewed	A0A0D9WBC8_9ORYZ	4-coumarate--CoA ligase (EC 6.2.1.12)		Leersia perrieri	517
A0A0D9YT11	unreviewed	A0A0D9YT11_9ORYZ	Acetyl-coenzyme A synthetase (EC 6.2.1.1)		Oryza glumipatula	705
A0A0D9Z653	unreviewed	A0A0D9Z653_9ORYZ	4-coumarate--CoA ligase (EC 6.2.1.12)		Oryza glumipatula	804
A0A0D9ZM18	unreviewed	A0A0D9ZM18_9ORYZ	4-coumarate--CoA ligase (EC 6.2.1.12)		Oryza glumipatula	2414
A0A0D9ZSM6	unreviewed	A0A0D9ZSM6_9ORYZ	4-coumarate--CoA ligase (EC 6.2.1.12)		Oryza glumipatula	518
A0A0E0BF94	unreviewed	A0A0E0BF94_9ORYZ	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Oryza glumipatula	673
A0A0E0BNV1	unreviewed	A0A0E0BNV1_9ORYZ	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Oryza glumipatula	707
A0A0E0BNV2	unreviewed	A0A0E0BNV2_9ORYZ	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Oryza glumipatula	716
A0A0E0BNV3	unreviewed	A0A0E0BNV3_9ORYZ	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Oryza glumipatula	653
A0A0E0BWM1	unreviewed	A0A0E0BWM1_9ORYZ	4-coumarate--CoA ligase (EC 6.2.1.12)		Oryza meridionalis	2414
A0A0E0CLD1	unreviewed	A0A0E0CLD1_9ORYZ	Acetyl-coenzyme A synthetase (EC 6.2.1.1)		Oryza meridionalis	705
A0A0E0DKD8	unreviewed	A0A0E0DKD8_9ORYZ	4-coumarate--CoA ligase (EC 6.2.1.12)		Oryza meridionalis	518
A0A0E0DX87	unreviewed	A0A0E0DX87_9ORYZ	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Oryza meridionalis	701
A0A0E0F9H3	unreviewed	A0A0E0F9H3_9ORYZ	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Oryza meridionalis	707
A0A0E0F9H4	unreviewed	A0A0E0F9H4_9ORYZ	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Oryza meridionalis	696
A0A0E0F9H5	unreviewed	A0A0E0F9H5_9ORYZ	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Oryza meridionalis	678
A0A0E0F9H6	unreviewed	A0A0E0F9H6_9ORYZ	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Oryza meridionalis	659
A0A0E0G7K2	unreviewed	A0A0E0G7K2_ORYNI	Acetyl-coenzyme A synthetase (EC 6.2.1.1)		Oryza nivara (Indian wild rice) (Oryza sativa f. spontanea)	705
A0A0E0H7X1	unreviewed	A0A0E0H7X1_ORYNI	4-coumarate--CoA ligase (EC 6.2.1.12)		Oryza nivara (Indian wild rice) (Oryza sativa f. spontanea)	518
A0A0E0H903	unreviewed	A0A0E0H903_ORYNI	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Oryza nivara (Indian wild rice) (Oryza sativa f. spontanea)	679
A0A0E0J6L8	unreviewed	A0A0E0J6L8_ORYNI	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Oryza nivara (Indian wild rice) (Oryza sativa f. spontanea)	707
A0A0E0J6L9	unreviewed	A0A0E0J6L9_ORYNI	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Oryza nivara (Indian wild rice) (Oryza sativa f. spontanea)	739
A0A0E0J6M0	unreviewed	A0A0E0J6M0_ORYNI	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Oryza nivara (Indian wild rice) (Oryza sativa f. spontanea)	716
A0A0E0JBS7	unreviewed	A0A0E0JBS7_ORYNI	4-coumarate--CoA ligase (EC 6.2.1.12)		Oryza nivara (Indian wild rice) (Oryza sativa f. spontanea)	2391
A0A0E0K0I7	unreviewed	A0A0E0K0I7_ORYPU	Acetyl-coenzyme A synthetase (EC 6.2.1.1)		Oryza punctata (Red rice)	697
A0A0E0KRT3	unreviewed	A0A0E0KRT3_ORYPU	4-coumarate--CoA ligase (EC 6.2.1.12)		Oryza punctata (Red rice)	2443
A0A0E0KX05	unreviewed	A0A0E0KX05_ORYPU	4-coumarate--CoA ligase (EC 6.2.1.12)		Oryza punctata (Red rice)	519
A0A0E0MGC7	unreviewed	A0A0E0MGC7_ORYPU	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Oryza punctata (Red rice)	675
A0A0E0MGC8	unreviewed	A0A0E0MGC8_ORYPU	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Oryza punctata (Red rice)	661
A0A0E0MJK2	unreviewed	A0A0E0MJK2_ORYPU	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Oryza punctata (Red rice)	704
A0A0E0NFQ6	unreviewed	A0A0E0NFQ6_ORYRU	Acetyl-coenzyme A synthetase (EC 6.2.1.1)		Oryza rufipogon (Brownbeard rice) (Asian wild rice)	705
A0A0E0PAF4	unreviewed	A0A0E0PAF4_ORYRU	4-coumarate--CoA ligase (EC 6.2.1.12)		Oryza rufipogon (Brownbeard rice) (Asian wild rice)	2391
A0A0E0PFY4	unreviewed	A0A0E0PFY4_ORYRU	4-coumarate--CoA ligase (EC 6.2.1.12)		Oryza rufipogon (Brownbeard rice) (Asian wild rice)	518
A0A0E0PH46	unreviewed	A0A0E0PH46_ORYRU	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Oryza rufipogon (Brownbeard rice) (Asian wild rice)	680
A0A0E0RDP2	unreviewed	A0A0E0RDP2_ORYRU	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Oryza rufipogon (Brownbeard rice) (Asian wild rice)	712
A0A0E0RDP3	unreviewed	A0A0E0RDP3_ORYRU	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Oryza rufipogon (Brownbeard rice) (Asian wild rice)	659
A0A0E0RDP4	unreviewed	A0A0E0RDP4_ORYRU	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Oryza rufipogon (Brownbeard rice) (Asian wild rice)	688
A0A0P0V616	unreviewed	A0A0P0V616_ORYSJ	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	Os01g0655800	Oryza sativa subsp. japonica (Rice)	680
A0A0P0WAB9	unreviewed	A0A0P0WAB9_ORYSJ	Acetyl-coenzyme A synthetase (EC 6.2.1.1)	Os04g0404800 OSNPB_040404800	Oryza sativa subsp. japonica (Rice)	747
A0A0P0WBK1	unreviewed	A0A0P0WBK1_ORYSJ	4-coumarate--CoA ligase (EC 6.2.1.12)	Os04g0473900 OSNPB_040473900	Oryza sativa subsp. japonica (Rice)	2493
A0A0P0WGG6	unreviewed	A0A0P0WGG6_ORYSJ	4-coumarate--CoA ligase (EC 6.2.1.12)	Os04g0683700 OSJNBa0088H09.2	Oryza sativa subsp. japonica (Rice)	518
A0A0Q3F190	unreviewed	A0A0Q3F190_BRADI	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	100827728 BRADI_4g42950v3	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	722
A0A0Q3H2T2	unreviewed	A0A0Q3H2T2_BRADI	Acetyl-coenzyme A synthetase (EC 6.2.1.1)	100827025 BRADI_5g08890v3	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	738
A0A194YHC1	unreviewed	A0A194YHC1_SORBI	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	SORBI_3010G045500	Sorghum bicolor (Sorghum) (Sorghum vulgare)	649
A0A199VGG9	unreviewed	A0A199VGG9_ANACO	Acetyl-coenzyme A synthetase (EC 6.2.1.1)	ACMD2_16409	Ananas comosus (Pineapple) (Ananas ananas)	754
A0A199W725	unreviewed	A0A199W725_ANACO	4-coumarate--CoA ligase (EC 6.2.1.12)	ACMD2_04053	Ananas comosus (Pineapple) (Ananas ananas)	642
A0A1B6P687	unreviewed	A0A1B6P687_SORBI	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	SORBI_3009G031400	Sorghum bicolor (Sorghum) (Sorghum vulgare)	670
A0A1B6PLI9	unreviewed	A0A1B6PLI9_SORBI	4-coumarate--CoA ligase (EC 6.2.1.12)	SORBI_3006G116900	Sorghum bicolor (Sorghum) (Sorghum vulgare)	2410
A0A1B6PP80	unreviewed	A0A1B6PP80_SORBI	4-coumarate--CoA ligase (EC 6.2.1.12)	SORBI_3006G272600	Sorghum bicolor (Sorghum) (Sorghum vulgare)	530
A0A1B6PPY6	unreviewed	A0A1B6PPY6_SORBI	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	SORBI_3005G033100	Sorghum bicolor (Sorghum) (Sorghum vulgare)	697
A0A1B6PSR5	unreviewed	A0A1B6PSR5_SORBI	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	SORBI_3005G156100	Sorghum bicolor (Sorghum) (Sorghum vulgare)	665
A0A1D5UJH8	unreviewed	A0A1D5UJH8_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CAMPLR22A2D_LOCUS3350 CFC21_030443	Triticum aestivum (Wheat)	2409
A0A1D5UTR1	unreviewed	A0A1D5UTR1_WHEAT	Acetyl-coenzyme A synthetase (EC 6.2.1.1)	CAMPLR22A2D_LOCUS2892 CFC21_030002	Triticum aestivum (Wheat)	731
A0A1D6H9J3	unreviewed	A0A1D6H9J3_MAIZE	Acetyl-coenzyme A synthetase (EC 6.2.1.1)	ZEAMMB73_Zm00001d016659	Zea mays (Maize)	706
A0A1D6IQW2	unreviewed	A0A1D6IQW2_MAIZE	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	ZEAMMB73_Zm00001d023238	Zea mays (Maize)	691
A0A1D6NV39	unreviewed	A0A1D6NV39_MAIZE	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	ZEAMMB73_Zm00001d045295	Zea mays (Maize)	675
A0A1W0VZQ2	unreviewed	A0A1W0VZQ2_SORBI	4-coumarate--CoA ligase (EC 6.2.1.12)	SORBI_3003G303900	Sorghum bicolor (Sorghum) (Sorghum vulgare)	633
A0A2H5AIX5	reviewed	4CL1_NARPS	4-coumarate-CoA ligase 1 (EC 6.2.1.12)	4CL1	Narcissus pseudonarcissus (Daffodil)	547
A0A2H5AIY4	reviewed	4CL2_NARPS	4-coumarate-CoA ligase 2 (EC 6.2.1.12)	4CL2	Narcissus pseudonarcissus (Daffodil)	569
A0A2K2CGZ4	unreviewed	A0A2K2CGZ4_BRADI	4-coumarate--CoA ligase (EC 6.2.1.12)	BRADI_5g13250v3	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	2317
A0A2K2D124	unreviewed	A0A2K2D124_BRADI	4-coumarate--CoA ligase (EC 6.2.1.12)	100842361 BRADI_3g34531v3	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	655
A0A2K2DCL3	unreviewed	A0A2K2DCL3_BRADI	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	100841530 BRADI_2g38490v3	Brachypodium distachyon (Purple false brome) (Trachynia distachya)	662
A0A2S3HSX0	unreviewed	A0A2S3HSX0_9POAL	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	PAHAL_5G205600	Panicum hallii	657
A0A2S3I4J8	unreviewed	A0A2S3I4J8_9POAL	4-coumarate--CoA ligase (EC 6.2.1.12)	PAHAL_6G288900	Panicum hallii	2412
A0A2S3ICC6	unreviewed	A0A2S3ICC6_9POAL	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	PAHAL_8G027800	Panicum hallii	694
A0A2T7CK21	unreviewed	A0A2T7CK21_9POAL	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	GQ55_8G027800	Panicum hallii var. hallii	694
A0A2T7D1X8	unreviewed	A0A2T7D1X8_9POAL	4-coumarate--CoA ligase (EC 6.2.1.12)	GQ55_7G337100	Panicum hallii var. hallii	525
A0A2T7DAF5	unreviewed	A0A2T7DAF5_9POAL	4-coumarate--CoA ligase (EC 6.2.1.12)	GQ55_6G275000	Panicum hallii var. hallii	2419
A0A2T7DIE8	unreviewed	A0A2T7DIE8_9POAL	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	GQ55_5G204500	Panicum hallii var. hallii	657
A0A368R8G8	unreviewed	A0A368R8G8_SETIT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	SETIT_5G248800v2	Setaria italica (Foxtail millet) (Panicum italicum)	677
A0A368RPX8	unreviewed	A0A368RPX8_SETIT	4-coumarate--CoA ligase (EC 6.2.1.12)	SETIT_6G231200v2	Setaria italica (Foxtail millet) (Panicum italicum)	2410
A0A3B5XWD0	unreviewed	A0A3B5XWD0_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Triticum aestivum (Wheat)	670
A0A3B5YTX4	unreviewed	A0A3B5YTX4_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_005595	Triticum aestivum (Wheat)	670
A0A3B5ZR02	unreviewed	A0A3B5ZR02_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_010454	Triticum aestivum (Wheat)	670
A0A3B6AZD0	unreviewed	A0A3B6AZD0_WHEAT	Acetyl-coenzyme A synthetase (EC 6.2.1.1)	CFC21_017270	Triticum aestivum (Wheat)	690
A0A3B6AZU8	unreviewed	A0A3B6AZU8_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_017670	Triticum aestivum (Wheat)	2409
A0A3B6C9A3	unreviewed	A0A3B6C9A3_WHEAT	Acetyl-coenzyme A synthetase (EC 6.2.1.1)		Triticum aestivum (Wheat)	720
A0A3B6CAX6	unreviewed	A0A3B6CAX6_WHEAT	4-coumarate--CoA ligase (EC 6.2.1.12)	CFC21_024133	Triticum aestivum (Wheat)	2409
A0A3B6EHH7	unreviewed	A0A3B6EHH7_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_035642	Triticum aestivum (Wheat)	671
A0A3B6GTN8	unreviewed	A0A3B6GTN8_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_047538	Triticum aestivum (Wheat)	658
A0A3B6HTX8	unreviewed	A0A3B6HTX8_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_052645	Triticum aestivum (Wheat)	696
A0A3B6HXW0	unreviewed	A0A3B6HXW0_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_052645	Triticum aestivum (Wheat)	684
A0A3B6IPH5	unreviewed	A0A3B6IPH5_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_057269	Triticum aestivum (Wheat)	696
A0A3B6JFI8	unreviewed	A0A3B6JFI8_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_061260	Triticum aestivum (Wheat)	695
A0A3B6JH64	unreviewed	A0A3B6JH64_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_061260	Triticum aestivum (Wheat)	684
A0A3B6JIB0	unreviewed	A0A3B6JIB0_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_061260	Triticum aestivum (Wheat)	683
A0A3B6JIS2	unreviewed	A0A3B6JIS2_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_061260	Triticum aestivum (Wheat)	696
A0A3B6KFQ1	unreviewed	A0A3B6KFQ1_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Triticum aestivum (Wheat)	503
A0A3B6KFQ2	unreviewed	A0A3B6KFQ2_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		Triticum aestivum (Wheat)	702
A0A3B6KG72	unreviewed	A0A3B6KG72_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_065255	Triticum aestivum (Wheat)	667
A0A3B6KQ55	unreviewed	A0A3B6KQ55_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_067911	Triticum aestivum (Wheat)	664
A0A3B6LJD9	unreviewed	A0A3B6LJD9_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_070846	Triticum aestivum (Wheat)	702
A0A3B6LK70	unreviewed	A0A3B6LK70_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_071005	Triticum aestivum (Wheat)	662
A0A3B6LTZ6	unreviewed	A0A3B6LTZ6_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_073746	Triticum aestivum (Wheat)	662
A0A3B6MQB8	unreviewed	A0A3B6MQB8_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_076863	Triticum aestivum (Wheat)	702
A0A3B6MQF3	unreviewed	A0A3B6MQF3_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_076891	Triticum aestivum (Wheat)	667
A0A3B6MYK8	unreviewed	A0A3B6MYK8_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_079734	Triticum aestivum (Wheat)	662
A0A3B6QP26	unreviewed	A0A3B6QP26_WHEAT	Acetyl-coenzyme A synthetase (EC 6.2.1.1)	CFC21_094600	Triticum aestivum (Wheat)	705
A0A3B6R9D7	unreviewed	A0A3B6R9D7_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_096147	Triticum aestivum (Wheat)	631
A0A3B6S917	unreviewed	A0A3B6S917_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_101067	Triticum aestivum (Wheat)	650
A0A3B6TJS1	unreviewed	A0A3B6TJS1_WHEAT	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	CFC21_107487	Triticum aestivum (Wheat)	650
A0A3L6E656	unreviewed	A0A3L6E656_MAIZE	4-coumarate--CoA ligase (EC 6.2.1.12)	4CLL9_1 Zm00014a_035240	Zea mays (Maize)	773
A0A3L6E9M0	unreviewed	A0A3L6E9M0_MAIZE	4-coumarate--CoA ligase (EC 6.2.1.12)	RP-P0_1 Zm00014a_031055	Zea mays (Maize)	1418
A0A3L6EYI5	unreviewed	A0A3L6EYI5_MAIZE	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	LACS6 Zm00014a_033397	Zea mays (Maize)	642
A0A3L6FL47	unreviewed	A0A3L6FL47_MAIZE	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	LACS4_1 Zm00014a_027689	Zea mays (Maize)	664
A0A3L6FT11	unreviewed	A0A3L6FT11_MAIZE	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	LACS4_0 Zm00014a_026101	Zea mays (Maize)	607
A0A3L6GAJ9	unreviewed	A0A3L6GAJ9_MAIZE	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	LACS1_1 Zm00014a_035025	Zea mays (Maize)	683
