Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
19	TR	A0A6A1UY65	Benzyl alcohol O-benzoyltransferase OS=Morella rubra OX=262757 GN=CJ030_MR7G012091 PE=4 SV=1	Morella rubra	459	1031	49.3	63.1	1.4e-133
20	TR	A0A5D3BNT2	Benzyl alcohol O-benzoyltransferase-like OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold602G001120 PE=4 SV=1	Cucumis melo var. makuwa	459	1031	47.2	64.7	1.4e-133
21	TR	A0A6P6SQ41	Benzyl alcohol O-benzoyltransferase-like OS=Coffea arabica OX=13443 GN=LOC113693628 PE=4 SV=1	Coffea arabica	470	1032	47.0	63.0	1.4e-133
22	TR	A0A1S3VGL7	Benzyl alcohol O-benzoyltransferase-like OS=Vigna radiata var. radiata OX=3916 GN=LOC106774836 PE=4 SV=1	Vigna radiata var. radiata	458	1028	47.9	62.9	3.9e-133
23	TR	A0A7J0E0Y3	HXXXD-type acyl-transferase family protein OS=Actinidia rufa OX=165716 GN=Acr_00g0097940 PE=4 SV=1	Actinidia rufa	462	1027	46.8	62.1	6.2e-133
24	TR	A0A8B9AHW1	Benzyl alcohol O-benzoyltransferase-like OS=Phoenix dactylifera OX=42345 GN=LOC103700693 PE=3 SV=1	Phoenix dactylifera	459	1024	47.6	62.0	1.6e-132
25	TR	A0A498IHC8	Benzyl alcohol O-benzoyltransferase OS=Malus domestica OX=3750 GN=DVH24_034838 PE=4 SV=1	Malus domestica	461	1024	47.2	64.1	1.7e-132
26	TR	A0A1S3VFT9	Benzyl alcohol O-benzoyltransferase-like OS=Vigna radiata var. radiata OX=3916 GN=LOC106774560 PE=4 SV=1	Vigna radiata var. radiata	458	1023	48.7	63.1	2.2e-132
27	TR	A0A1S3VIQ7	Benzyl alcohol O-benzoyltransferase-like OS=Vigna radiata var. radiata OX=3916 GN=LOC106775380 PE=4 SV=1	Vigna radiata var. radiata	458	1022	47.7	62.8	3.1e-132
28	TR	A0A0A0LR91	Benzyl alcohol O-benzoyltransferase OS=Cucumis sativus OX=3659 GN=Csa_2G431070 PE=4 SV=1	Cucumis sativus	459	1022	47.0	64.5	3.2e-132
29	TR	A0A8K0N8N1	Benzyl alcohol O-benzoyltransferase OS=Cocos nucifera OX=13894 GN=COCNU_10G010020 PE=3 SV=1	Cocos nucifera	459	1022	48.8	64.4	3.2e-132
30	SP	Q8GT20	Benzyl alcohol O-benzoyltransferase OS=Nicotiana tabacum OX=4097 GN=HSR201 PE=1 SV=1	Nicotiana tabacum	460	1022	48.5	63.9	3.3e-132
31	TR	A0A835MDB8	Benzyl alcohol O-benzoyltransferase OS=Coptis chinensis OX=261450 GN=IFM89_023393 PE=4 SV=1	Coptis chinensis	456	1020	47.7	63.3	5.8e-132
32	TR	A0A068VDF3	Benzyl alcohol O-benzoyltransferase OS=Coffea canephora OX=49390 GN=GSCOC_T00012436001 PE=4 SV=1	Coffea canephora	460	1020	47.0	63.1	6.7e-132
33	TR	A0A1U8BFE3	Benzyl alcohol O-benzoyltransferase OS=Nelumbo nucifera OX=4432 GN=LOC104610311 PE=4 SV=1	Nelumbo nucifera	459	1019	48.0	64.5	9.1e-132
34	TR	A0A540NAD1	Benzyl alcohol O-benzoyltransferase OS=Malus baccata OX=106549 GN=C1H46_006419 PE=4 SV=1	Malus baccata	461	1019	46.6	63.7	9.7e-132
35	TR	A0A2R6Q9L9	Benzyl alcohol O-benzoyltransferase OS=Actinidia chinensis var. chinensis OX=1590841 GN=CEY00_Acc20457 PE=4 SV=1	Actinidia chinensis var. chinensis	462	1019	46.8	62.1	1e-131
36	TR	A0A8B8Q2W6	Benzyl alcohol O-benzoyltransferase isoform X2 OS=Rhodamnia argentea OX=178133 GN=LOC115748376 PE=4 SV=1	Rhodamnia argentea	456	1017	48.4	62.9	1.7e-131
37	TR	A0A7N2RA53	Benzyl alcohol O-benzoyltransferase OS=Quercus lobata OX=97700 PE=4 SV=1	Quercus lobata	457	1016	48.4	63.1	2.4e-131
38	TR	A0A1S4C4D3	Benzyl alcohol O-benzoyltransferase OS=Nicotiana tabacum OX=4097 GN=LOC107814928 PE=4 SV=1	Nicotiana tabacum	460	1016	49.0	64.2	2.7e-131
39	TR	A0A6J1JGR9	Benzyl alcohol O-benzoyltransferase-like OS=Cucurbita maxima OX=3661 GN=LOC111484237 PE=4 SV=1	Cucurbita maxima	461	1015	46.6	63.5	3.9e-131
40	TR	A0A1R3KLW7	Transferase OS=Corchorus olitorius OX=93759 GN=COLO4_06819 PE=4 SV=1	Corchorus olitorius	456	1014	47.8	63.1	4.7e-131
41	TR	A0A834YIA1	Benzyl alcohol O-benzoyltransferase OS=Tetracentron sinense OX=13715 GN=HHK36_028335 PE=4 SV=1	Tetracentron sinense	457	1014	48.0	63.2	4.9e-131
42	TR	A0A5N6RFE6	Benzyl alcohol O-benzoyltransferase OS=Carpinus fangiana OX=176857 GN=FH972_016114 PE=4 SV=1	Carpinus fangiana	458	1014	47.7	62.9	5e-131
43	TR	A0A7J7I1L8	Benzyl alcohol O-benzoyltransferase OS=Camellia sinensis OX=4442 GN=HYC85_000161 PE=4 SV=1	Camellia sinensis	463	1014	47.5	63.7	5.9e-131
44	TR	A0A2H9ZQY9	Benzyl alcohol O-benzoyltransferase OS=Apostasia shenzhenica OX=1088818 GN=HSR201 PE=3 SV=1	Apostasia shenzhenica	453	1013	47.9	64.5	6e-131
45	TR	A0A6P6T4A6	Benzyl alcohol O-benzoyltransferase-like OS=Coffea arabica OX=13443 GN=LOC113697344 PE=4 SV=1	Coffea arabica	483	1015	46.0	61.7	8e-131
46	TR	A0A843W0E1	Benzyl alcohol O-benzoyltransferase OS=Colocasia esculenta OX=4460 GN=Taro_031941 PE=3 SV=1	Colocasia esculenta	458	1010	47.9	62.0	2e-130
47	TR	A0A151RV19	Taxadien-5-alpha-ol O-acetyltransferase OS=Cajanus cajan OX=3821 GN=KK1_032023 PE=4 SV=1	Cajanus cajan	458	1010	48.1	62.0	2e-130
48	TR	A0A6P6T3W4	Benzyl alcohol O-benzoyltransferase-like isoform X3 OS=Coffea arabica OX=13443 GN=LOC113697293 PE=4 SV=1	Coffea arabica	459	1010	47.4	63.0	2.1e-130
49	TR	A0A8T3B8K1	Benzyl alcohol O-benzoyltransferase OS=Dendrobium nobile OX=94219 GN=KFK09_016036 PE=3 SV=1	Dendrobium nobile	471	1011	46.2	64.6	2.2e-130
50	TR	A0A444F0K7	Benzyl alcohol O-benzoyltransferase OS=Ensete ventricosum OX=4639 GN=GW17_00019953 PE=3 SV=1	Ensete ventricosum	457	1009	49.5	63.3	2.8e-130
51	TR	A0A218WHX9	Benzyl alcohol O-benzoyltransferase OS=Punica granatum OX=22663 GN=LOC116193195 PE=4 SV=1	Punica granatum	457	1009	46.0	62.4	2.8e-130
52	TR	A0A6J1L4Q1	Benzyl alcohol O-benzoyltransferase-like OS=Cucurbita maxima OX=3661 GN=LOC111499875 PE=4 SV=1	Cucurbita maxima	458	1009	46.8	63.5	2.9e-130
53	TR	A0A4S4DP85	Benzyl alcohol O-benzoyltransferase OS=Camellia sinensis var. sinensis OX=542762 GN=TEA_011957 PE=4 SV=1	Camellia sinensis var. sinensis	515	1014	47.5	63.7	3.1e-130
54	TR	A0A445IFT1	Benzyl alcohol O-benzoyltransferase OS=Glycine soja OX=3848 GN=D0Y65_025559 PE=4 SV=1	Glycine soja	454	1008	47.7	63.3	3.5e-130
55	TR	A0A7J7NNW1	Benzyl alcohol O-benzoyltransferase OS=Kingdonia uniflora OX=39325 GN=GIB67_038404 PE=4 SV=1	Kingdonia uniflora	456	1008	46.5	62.6	3.8e-130
56	TR	A0A067KX45	Benzyl alcohol O-benzoyltransferase OS=Jatropha curcas OX=180498 GN=JCGZ_02588 PE=4 SV=1	Jatropha curcas	459	1008	45.5	61.8	4.2e-130
57	TR	A0A061EYY7	Benzoyl coenzyme A: Benzyl alcohol benzoyl transferase OS=Theobroma cacao OX=3641 GN=TCM_025661 PE=4 SV=1	Theobroma cacao	454	1007	48.2	64.0	5e-130
58	TR	A0A068VLD0	Benzyl alcohol O-benzoyltransferase OS=Coffea canephora OX=49390 GN=GSCOC_T00013680001 PE=4 SV=1	Coffea canephora	456	1007	46.8	62.4	5.4e-130
59	TR	V4SS76	Benzyl alcohol O-benzoyltransferase OS=Citrus clementina OX=85681 GN=CICLE_v10031489mg PE=4 SV=1	Citrus clementina	458	1007	47.7	62.1	5.7e-130
60	TR	A0A7I8LAZ3	Uncharacterized protein OS=Spirodela intermedia OX=51605 GN=SI8410_13017132 PE=3 SV=1	Spirodela intermedia	450	1006	49.7	63.8	6.2e-130
61	TR	A0A6J1A7S2	Benzyl alcohol O-benzoyltransferase-like OS=Herrania umbratica OX=108875 GN=LOC110415454 PE=4 SV=1	Herrania umbratica	454	1006	48.0	64.2	7.1e-130
62	TR	M0ZKM2	Hsr201 protein OS=Solanum tuberosum OX=4113 PE=4 SV=1	Solanum tuberosum	466	1007	48.0	64.1	7.4e-130
63	TR	A0A2U1M7U6	Benzyl alcohol O-benzoyltransferase OS=Artemisia annua OX=35608 GN=CTI12_AA314430 PE=4 SV=1	Artemisia annua	462	1006	47.5	63.1	9.2e-130
64	TR	A0A445FKZ0	Benzyl alcohol O-benzoyltransferase OS=Glycine soja OX=3848 GN=D0Y65_052446 PE=4 SV=1	Glycine soja	464	1006	47.3	62.0	9.8e-130
65	TR	A0A0R0ETE6	Benzyl alcohol O-benzoyltransferase OS=Glycine max OX=3847 GN=100792864 PE=4 SV=1	Glycine max	464	1006	47.3	62.0	9.8e-130
66	TR	I1L7B2	Benzyl alcohol O-benzoyltransferase OS=Glycine max OX=3847 GN=100799685 PE=4 SV=1	Glycine max	454	1005	47.4	63.3	1e-129
67	TR	A0A1J6KHR5	Benzyl alcohol o-benzoyltransferase OS=Nicotiana attenuata OX=49451 GN=HSR201 PE=4 SV=1	Nicotiana attenuata	460	1005	48.3	64.6	1.2e-129
68	TR	A0A200R6N8	Transferase OS=Macleaya cordata OX=56857 GN=BVC80_1833g25 PE=4 SV=1	Macleaya cordata	464	1005	46.7	62.2	1.4e-129
69	TR	A0A5B6WXF8	Benzyl alcohol O-benzoyltransferase OS=Gossypium australe OX=47621 GN=EPI10_030459 PE=4 SV=1	Gossypium australe	454	1004	46.7	63.7	1.4e-129
70	TR	A0A5N6RG05	Benzyl alcohol O-benzoyltransferase OS=Carpinus fangiana OX=176857 GN=FH972_016119 PE=4 SV=1	Carpinus fangiana	456	1004	47.9	62.5	1.5e-129
71	TR	A0A7N2MGJ2	Benzyl alcohol O-benzoyltransferase OS=Quercus lobata OX=97700 PE=4 SV=1	Quercus lobata	457	1004	48.2	62.7	1.6e-129
72	TR	A0A445LHN5	Benzyl alcohol O-benzoyltransferase OS=Glycine soja OX=3848 GN=D0Y65_002542 PE=4 SV=1	Glycine soja	459	1004	47.7	62.0	1.7e-129
73	TR	A0A1J7HAM2	Benzyl alcohol O-benzoyltransferase OS=Lupinus angustifolius OX=3871 GN=TanjilG_15760 PE=4 SV=1	Lupinus angustifolius	459	1004	47.8	62.4	1.7e-129
74	TR	A0A0R0KQE9	Benzyl alcohol O-benzoyltransferase OS=Glycine max OX=3847 GN=100797017 PE=4 SV=1	Glycine max	459	1004	47.7	62.0	1.7e-129
75	TR	A0A0D2SGF2	Benzyl alcohol O-benzoyltransferase OS=Gossypium raimondii OX=29730 GN=B456_013G185500 PE=4 SV=1	Gossypium raimondii	454	1003	46.5	63.7	2e-129
76	TR	A0A6J5Y070	Benzyl alcohol O-benzoyltransferase OS=Prunus armeniaca OX=36596 GN=CURHAP_LOCUS47238 PE=4 SV=1	Prunus armeniaca	461	1003	46.3	63.4	2.5e-129
77	TR	A0A5N6P3E3	Benzyl alcohol O-benzoyltransferase OS=Mikania micrantha OX=192012 GN=E3N88_14531 PE=4 SV=1	Mikania micrantha	462	1003	47.0	63.7	2.6e-129
78	TR	A0A6J1D5A6	Benzyl alcohol O-benzoyltransferase-like OS=Momordica charantia OX=3673 GN=LOC111017149 PE=4 SV=1	Momordica charantia	458	1002	46.5	63.4	3.3e-129
79	TR	A0A8J4QAC5	Benzyl alcohol O-benzoyltransferase OS=Castanea mollissima OX=60419 GN=CMV_027287 PE=4 SV=1	Castanea mollissima	457	1001	48.7	62.4	4.5e-129
80	TR	A0A8J4RN87	Benzyl alcohol O-benzoyltransferase OS=Castanea mollissima OX=60419 GN=CMV_006898 PE=4 SV=1	Castanea mollissima	457	1001	48.4	62.4	4.5e-129
81	TR	A0A1U7Z0B0	Benzyl alcohol O-benzoyltransferase OS=Nicotiana sylvestris OX=4096 GN=LOC104249987 PE=4 SV=1	Nicotiana sylvestris	460	1001	48.5	63.9	4.9e-129
82	TR	A0A1S3YHI1	Benzyl alcohol O-benzoyltransferase-like OS=Nicotiana tabacum OX=4097 GN=LOC107776214 PE=4 SV=1	Nicotiana tabacum	460	1001	48.5	63.9	4.9e-129
83	TR	A0A7J8TC29	Benzyl alcohol O-benzoyltransferase OS=Gossypium davidsonii OX=34287 GN=Godav_029685 PE=4 SV=1	Gossypium davidsonii	454	1000	46.5	63.4	5.7e-129
84	TR	B9I6S9	Benzoyl-CoA:salicyl alcohol O-benzoyltransferase OS=Populus trichocarpa OX=3694 GN=POPTR_013G074500 PE=2 SV=1	Populus trichocarpa	459	1000	48.1	61.8	6.7e-129
85	TR	A0A9R0JZJ7	Benzyl alcohol O-benzoyltransferase-like OS=Spinacia oleracea OX=3562 GN=LOC110792434 PE=4 SV=1	Spinacia oleracea	464	1000	47.0	62.1	7.9e-129
86	TR	A0A8B8MD51	Benzyl alcohol O-benzoyltransferase OS=Abrus precatorius OX=3816 GN=LOC113872425 PE=4 SV=1	Abrus precatorius	458	999	47.9	62.5	9.2e-129
87	TR	A0A8T0CLB4	Benzyl alcohol O-benzoyltransferase OS=Corymbia citriodora subsp. variegata OX=360336 GN=BT93_L1882 PE=4 SV=1	Corymbia citriodora subsp. variegata	460	999	47.7	62.6	9.8e-129
88	TR	A0A6P5SF85	Benzyl alcohol O-benzoyltransferase OS=Prunus avium OX=42229 GN=LOC110755953 PE=4 SV=1	Prunus avium	461	999	46.5	62.9	1e-128
89	TR	A0A1U7YN93	Benzyl alcohol O-benzoyltransferase-like isoform X1 OS=Nicotiana sylvestris OX=4096 GN=LOC104248830 PE=4 SV=1	Nicotiana sylvestris	462	999	48.1	63.9	1e-128
90	TR	A0A1S4CZW2	Benzyl alcohol O-benzoyltransferase-like isoform X1 OS=Nicotiana tabacum OX=4097 GN=LOC107824435 PE=4 SV=1	Nicotiana tabacum	462	999	48.1	63.9	1e-128
91	TR	A0A5D2S558	Benzyl alcohol O-benzoyltransferase OS=Gossypium mustelinum OX=34275 GN=E1A91_D13G190300v1 PE=4 SV=1	Gossypium mustelinum	454	998	46.3	63.4	1.1e-128
92	TR	A0A4Y7KQ43	Benzyl alcohol O-benzoyltransferase OS=Papaver somniferum OX=3469 GN=C5167_049550 PE=4 SV=1	Papaver somniferum	464	998	45.6	64.0	1.6e-128
93	TR	A0A0B0MGB1	Benzyl alcohol O-benzoyltransferase OS=Gossypium arboreum OX=29729 GN=F383_18093 PE=4 SV=1	Gossypium arboreum	454	997	46.3	63.2	1.6e-128
94	TR	A0A6A2XU52	Benzyl alcohol O-benzoyltransferase OS=Hibiscus syriacus OX=106335 GN=F3Y22_tig00111402pilonHSYRG00673 PE=4 SV=1	Hibiscus syriacus	457	997	46.3	63.6	1.8e-128
95	TR	A0A8J5H3I6	Benzyl alcohol O-benzoyltransferase OS=Zingiber officinale OX=94328 GN=ZIOFF_025310 PE=4 SV=1	Zingiber officinale	458	997	47.6	61.5	1.8e-128
96	TR	A0A3S3QLV0	Benzyl alcohol O-benzoyltransferase OS=Cinnamomum micranthum f. kanehirae OX=337451 GN=CKAN_01617700 PE=4 SV=1	Cinnamomum micranthum f. kanehirae	464	997	47.2	63.3	2.2e-128
97	TR	I1JRK2	Benzyl alcohol O-benzoyltransferase OS=Glycine max OX=3847 GN=100787907 PE=4 SV=2	Glycine max	475	998	47.3	62.9	2.3e-128
98	TR	A0A022RMU5	Benzyl alcohol O-benzoyltransferase OS=Erythranthe guttata OX=4155 GN=MIMGU_mgv1a006154mg PE=4 SV=1	Erythranthe guttata	455	996	47.1	63.3	2.4e-128
99	TR	A0A540NBX9	Uncharacterized protein OS=Malus baccata OX=106549 GN=C1H46_006408 PE=4 SV=1	Malus baccata	456	996	47.5	64.0	2.5e-128
100	TR	A0A498ID75	Benzyl alcohol O-benzoyltransferase OS=Malus domestica OX=3750 GN=DVH24_034827 PE=4 SV=1	Malus domestica	456	996	47.3	64.2	2.5e-128
101	TR	A0A804K740	(wild Malaysian banana) hypothetical protein OS=Musa acuminata subsp. malaccensis OX=214687 GN=GSMUA_349120.1 PE=3 SV=1	Musa acuminata subsp. malaccensis	457	996	48.6	63.1	2.5e-128
102	TR	A0A0S3S5D9	Benzyl alcohol O-benzoyltransferase OS=Vigna angularis var. angularis OX=157739 GN=Vigan.05G142600 PE=4 SV=1	Vigna angularis var. angularis	448	995	47.3	61.9	2.7e-128
103	TR	A0A540NAC4	Benzyl alcohol O-benzoyltransferase OS=Malus baccata OX=106549 GN=C1H46_006409 PE=4 SV=1	Malus baccata	461	996	45.9	64.0	2.9e-128
104	TR	A0A7J8T408	Benzyl alcohol O-benzoyltransferase OS=Gossypium davidsonii OX=34287 GN=Godav_001463 PE=4 SV=1	Gossypium davidsonii	444	994	47.3	62.9	3.3e-128
105	TR	A0A2I0X1I6	Benzyl alcohol O-benzoyltransferase OS=Dendrobium catenatum OX=906689 GN=HSR201 PE=3 SV=1	Dendrobium catenatum	466	996	46.4	64.3	3.4e-128
106	TR	A0A5C7IAQ9	Benzyl alcohol O-benzoyltransferase OS=Acer yangbiense OX=1000413 GN=EZV62_007552 PE=4 SV=1	Acer yangbiense	458	995	48.3	63.0	3.7e-128
107	TR	A0A2R6RSA2	Benzyl alcohol O-benzoyltransferase OS=Actinidia chinensis var. chinensis OX=1590841 GN=CEY00_Acc03190 PE=4 SV=1	Actinidia chinensis var. chinensis	457	994	47.5	61.8	5.1e-128
108	TR	A0A8X8CEC1	Benzyl alcohol O-benzoyltransferase OS=Populus tomentosa OX=118781 GN=POTOM_044245 PE=4 SV=1	Populus tomentosa	459	994	47.9	61.6	5.4e-128
109	TR	A0A4U5QHH0	Transferase family protein OS=Populus alba OX=43335 GN=D5086_0000092710 PE=4 SV=1	Populus alba	459	994	47.9	61.6	5.4e-128
110	TR	A0A8J5H1L3	Benzyl alcohol O-benzoyltransferase OS=Zingiber officinale OX=94328 GN=ZIOFF_025317 PE=4 SV=1	Zingiber officinale	453	993	47.9	62.6	6.3e-128
111	TR	A0A6P5WV03	Benzyl alcohol O-benzoyltransferase-like OS=Durio zibethinus OX=66656 GN=LOC111277759 PE=4 SV=1	Durio zibethinus	457	993	48.1	64.2	7.2e-128
112	TR	A0A1J7I4I0	Benzyl alcohol O-benzoyltransferase OS=Lupinus angustifolius OX=3871 GN=TanjilG_11858 PE=4 SV=1	Lupinus angustifolius	457	993	46.9	63.0	7.2e-128
113	TR	A0A1E5UQE4	Benzyl alcohol O-benzoyltransferase OS=Dichanthelium oligosanthes OX=888268 GN=BAE44_0023861 PE=3 SV=1	Dichanthelium oligosanthes	459	993	48.1	61.3	7.7e-128
114	TR	A0A2U1PV25	Benzyl alcohol O-benzoyltransferase OS=Artemisia annua OX=35608 GN=CTI12_AA109880 PE=4 SV=1	Artemisia annua	449	992	46.3	64.4	7.8e-128
115	TR	A0A5N5J392	Benzyl alcohol O-benzoyltransferase OS=Salix brachista OX=2182728 GN=DKX38_029302 PE=4 SV=1	Salix brachista	484	995	47.6	61.3	8.5e-128
116	TR	A0A834WJC9	Benzyl alcohol O-benzoyltransferase OS=Senna tora OX=362788 GN=G2W53_023166 PE=4 SV=1	Senna tora	463	993	48.4	61.1	8.7e-128
117	TR	A0A4Y7KAN7	Benzyl alcohol O-benzoyltransferase OS=Papaver somniferum OX=3469 GN=C5167_032495 PE=4 SV=1	Papaver somniferum	464	993	45.4	63.4	9e-128
118	TR	A0A443PSM8	Benzyl alcohol O-benzoyltransferase-like protein OS=Cinnamomum micranthum f. kanehirae OX=337451 GN=CKAN_02306900 PE=4 SV=1	Cinnamomum micranthum f. kanehirae	456	992	47.7	64.2	9.8e-128
119	TR	A0A8J5LJQ6	Benzyl alcohol O-benzoyltransferase OS=Zingiber officinale OX=94328 GN=ZIOFF_025314 PE=4 SV=1	Zingiber officinale	458	992	47.8	62.7	1e-127
120	TR	A0A5E4FC72	PREDICTED: benzyl alcohol OS=Prunus dulcis OX=3755 GN=ALMOND_2B013042 PE=4 SV=1	Prunus dulcis	461	992	46.3	62.9	1.2e-127
121	TR	A0A5D2WJV7	Benzyl alcohol O-benzoyltransferase OS=Gossypium mustelinum OX=34275 GN=E1A91_A13G182500v1 PE=4 SV=1	Gossypium mustelinum	454	991	46.0	63.0	1.3e-127
122	TR	A0A7J9FTE0	Benzyl alcohol O-benzoyltransferase OS=Gossypium trilobum OX=34281 GN=Gotri_027535 PE=4 SV=1	Gossypium trilobum	454	991	46.0	63.0	1.3e-127
123	TR	A0A2P5VNI5	Benzyl alcohol O-benzoyltransferase OS=Gossypium barbadense OX=3634 GN=ES319_A13G175800v1 PE=4 SV=1	Gossypium barbadense	454	991	46.0	63.0	1.3e-127
124	TR	A0A445LGJ3	Benzyl alcohol O-benzoyltransferase OS=Glycine soja OX=3848 GN=D0Y65_008124 PE=4 SV=1	Glycine soja	475	992	47.1	62.7	1.8e-127
125	TR	A0A835C4P6	Benzyl alcohol O-benzoyltransferase OS=Digitaria exilis OX=1010633 GN=HU200_022437 PE=3 SV=1	Digitaria exilis	466	991	47.8	61.2	1.9e-127
126	TR	A0A1S3VIA7	Benzyl alcohol O-benzoyltransferase OS=Vigna radiata var. radiata OX=3916 GN=LOC106775345 PE=4 SV=1	Vigna radiata var. radiata	461	990	46.6	61.9	2.3e-127
127	TR	A0A8X8CD35	Benzyl alcohol O-benzoyltransferase OS=Populus tomentosa OX=118781 GN=POTOM_045404 PE=4 SV=1	Populus tomentosa	474	991	47.7	61.7	2.5e-127
128	TR	A0A8T3BC48	Benzyl alcohol O-benzoyltransferase OS=Dendrobium nobile OX=94219 GN=KFK09_016033 PE=3 SV=1	Dendrobium nobile	466	990	45.3	62.9	2.7e-127
129	TR	A0A059D1Y9	Benzyl alcohol O-benzoyltransferase OS=Eucalyptus grandis OX=71139 GN=EUGRSUZ_B01448 PE=4 SV=1	Eucalyptus grandis	458	989	47.4	62.8	3e-127
130	TR	A0A199V8U7	Benzyl alcohol O-benzoyltransferase OS=Ananas comosus OX=4615 GN=ACMD2_02493 PE=3 SV=1	Ananas comosus	464	989	47.4	63.0	3.6e-127
131	TR	A0A8T1QMN7	Benzyl alcohol O-benzoyltransferase OS=Carya illinoinensis OX=32201 GN=CIPAW_05G210500 PE=4 SV=1	Carya illinoinensis	455	988	46.6	62.6	3.8e-127
132	TR	A0A8J5H7X1	Benzyl alcohol O-benzoyltransferase OS=Zingiber officinale OX=94328 GN=ZIOFF_029272 PE=4 SV=1	Zingiber officinale	458	988	47.4	61.2	4.2e-127
133	SP	Q6E593	Benzyl alcohol O-benzoyltransferase OS=Petunia hybrida OX=4102 GN=BEBT1 PE=1 SV=1	Petunia hybrida	460	988	47.0	63.6	4.5e-127
134	TR	A0A8T0CR10	Benzyl alcohol O-benzoyltransferase OS=Corymbia citriodora subsp. variegata OX=360336 GN=BT93_L1881 PE=4 SV=1	Corymbia citriodora subsp. variegata	460	988	48.0	61.5	4.5e-127
135	TR	A0A7J9AY98	Benzyl alcohol O-benzoyltransferase OS=Gossypium laxum OX=34288 GN=Golax_001258 PE=4 SV=1	Gossypium laxum	454	987	46.0	63.0	5.2e-127
136	TR	A0A7J8NB34	Benzyl alcohol O-benzoyltransferase OS=Gossypium lobatum OX=34289 GN=Golob_001308 PE=4 SV=1	Gossypium lobatum	454	987	45.7	63.1	5.2e-127
