Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
benzyl alcohol O-benzoyltransferase-like [Malus domestica],Malus domestica,404,404,95%,6e-134,46.77,461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008359502.2?report=genbank&log$=prottop&blast_rank=38&RID=KNC2M38501N"",""XP_008359502.2"")"
benzyl alcohol O-benzoyltransferase [Cucumis sativus],Cucumis sativus,404,404,95%,8e-134,47.66,459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004151058.1?report=genbank&log$=prottop&blast_rank=39&RID=KNC2M38501N"",""XP_004151058.1"")"
hypothetical protein NE237_028002 [Protea cynaroides],Protea cynaroides,405,405,97%,1e-133,47.61,484,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ4951170.1?report=genbank&log$=prottop&blast_rank=40&RID=KNC2M38501N"",""KAJ4951170.1"")"
benzyl alcohol O-benzoyltransferase [Amborella trichopoda],Amborella trichopoda,404,404,95%,1e-133,49.00,460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011623977.1?report=genbank&log$=prottop&blast_rank=41&RID=KNC2M38501N"",""XP_011623977.1"")"
benzyl alcohol O-benzoyltransferase-like [Pyrus x bretschneideri],Pyrus x bretschneideri,404,404,95%,1e-133,46.55,461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009374085.2?report=genbank&log$=prottop&blast_rank=42&RID=KNC2M38501N"",""XP_009374085.2"")"
Benzyl alcohol O-benzoyltransferase [Camellia lanceoleosa],Camellia lanceoleosa,405,405,95%,1e-133,47.99,494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI8029503.1?report=genbank&log$=prottop&blast_rank=43&RID=KNC2M38501N"",""KAI8029503.1"")"
Benzyl alcohol O-benzoyltransferase [Cocos nucifera],Cocos nucifera,403,403,95%,2e-133,49.22,459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG1362783.1?report=genbank&log$=prottop&blast_rank=44&RID=KNC2M38501N"",""KAG1362783.1"")"
benzyl alcohol O-benzoyltransferase-like [Phoenix dactylifera],Phoenix dactylifera,403,403,95%,2e-133,49.44,459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_038982859.1?report=genbank&log$=prottop&blast_rank=45&RID=KNC2M38501N"",""XP_038982859.1"")"
hypothetical protein BT93_B1056 [Corymbia citriodora subsp. variegata],Corymbia citriodora subsp. variegata,403,403,95%,2e-133,48.55,460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF8038400.1?report=genbank&log$=prottop&blast_rank=46&RID=KNC2M38501N"",""KAF8038400.1"")"
benzyl alcohol O-benzoyltransferase [Telopea speciosissima],Telopea speciosissima,403,403,94%,2e-133,48.55,466,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043693867.1?report=genbank&log$=prottop&blast_rank=47&RID=KNC2M38501N"",""XP_043693867.1"")"
hypothetical protein AMTR_s00011p00264170 [Amborella trichopoda],Amborella trichopoda,404,404,95%,3e-133,49.00,476,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ERM94783.1?report=genbank&log$=prottop&blast_rank=48&RID=KNC2M38501N"",""ERM94783.1"")"
Transferase [Corchorus olitorius],Corchorus olitorius,402,402,96%,3e-133,47.68,456,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OMP08049.1?report=genbank&log$=prottop&blast_rank=49&RID=KNC2M38501N"",""OMP08049.1"")"
benzyl alcohol O-benzoyltransferase-like [Telopea speciosissima],Telopea speciosissima,403,403,95%,3e-133,47.46,469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043708157.1?report=genbank&log$=prottop&blast_rank=50&RID=KNC2M38501N"",""XP_043708157.1"")"
Benzyl alcohol O-benzoyltransferase [Actinidia chinensis var. chinensis],Actinidia chinensis var. chinensis,403,403,99%,3e-133,46.67,462,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PSS04601.1?report=genbank&log$=prottop&blast_rank=51&RID=KNC2M38501N"",""PSS04601.1"")"
benzyl alcohol O-benzoyltransferase [Nicotiana tabacum],Nicotiana tabacum,402,402,96%,4e-133,48.24,460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001312867.1?report=genbank&log$=prottop&blast_rank=52&RID=KNC2M38501N"",""NP_001312867.1"")"
acetyl CoA: benzylalcohol acetyltransferase [Chimonanthus praecox],Chimonanthus praecox,403,403,95%,4e-133,49.12,463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WJN57062.1?report=genbank&log$=prottop&blast_rank=53&RID=KNC2M38501N"",""WJN57062.1"")"
benzyl alcohol O-benzoyltransferase-like [Coffea arabica],Coffea arabica,403,403,99%,4e-133,46.04,483,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_027072731.1?report=genbank&log$=prottop&blast_rank=54&RID=KNC2M38501N"",""XP_027072731.1"")"
benzyl alcohol O-benzoyltransferase-like [Actinidia eriantha],Actinidia eriantha,402,402,99%,4e-133,47.74,462,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_057469640.1?report=genbank&log$=prottop&blast_rank=55&RID=KNC2M38501N"",""XP_057469640.1"")"
unnamed protein product [Coffea canephora],Coffea canephora,402,402,99%,4e-133,45.82,460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CDP18599.1?report=genbank&log$=prottop&blast_rank=56&RID=KNC2M38501N"",""CDP18599.1"")"
acetyl CoA: benzylalcohol acetyltransferase [Chimonanthus praecox],Chimonanthus praecox,402,402,95%,4e-133,49.12,463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WJN57063.1?report=genbank&log$=prottop&blast_rank=57&RID=KNC2M38501N"",""WJN57063.1"")"
benzyl alcohol O-benzoyltransferase-like [Trifolium pratense],Trifolium pratense,402,402,94%,6e-133,47.76,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_045815107.1?report=genbank&log$=prottop&blast_rank=58&RID=KNC2M38501N"",""XP_045815107.1"")"
hypothetical protein BT93_B1227 [Corymbia citriodora subsp. variegata],Corymbia citriodora subsp. variegata,402,402,99%,7e-133,47.32,460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF8038629.1?report=genbank&log$=prottop&blast_rank=59&RID=KNC2M38501N"",""KAF8038629.1"")"
hypothetical protein K1719_033718 [Acacia pycnantha],Acacia pycnantha,401,401,95%,8e-133,48.33,454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI9084376.1?report=genbank&log$=prottop&blast_rank=60&RID=KNC2M38501N"",""KAI9084376.1"")"
benzyl alcohol O-benzoyltransferase [Prosopis alba],Prosopis alba,402,402,95%,8e-133,48.32,483,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_028800205.1?report=genbank&log$=prottop&blast_rank=61&RID=KNC2M38501N"",""XP_028800205.1"")"
PREDICTED: benzyl alcohol O-benzoyltransferase [Nelumbo nucifera],Nelumbo nucifera,402,402,95%,8e-133,47.99,459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_010275172.1?report=genbank&log$=prottop&blast_rank=62&RID=KNC2M38501N"",""XP_010275172.1"")"
benzyl alcohol O-benzoyltransferase [Glycine max],Glycine max,402,402,95%,8e-133,47.68,464,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003554685.1?report=genbank&log$=prottop&blast_rank=63&RID=KNC2M38501N"",""XP_003554685.1"")"
LOW QUALITY PROTEIN: benzyl alcohol O-benzoyltransferase-like [Carica papaya],Carica papaya,402,402,99%,1e-132,46.24,462,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_021911306.1?report=genbank&log$=prottop&blast_rank=64&RID=KNC2M38501N"",""XP_021911306.1"")"
benzyl alcohol O-benzoyltransferase-like [Corylus avellana],Corylus avellana,401,401,97%,1e-132,47.16,460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_059455168.1?report=genbank&log$=prottop&blast_rank=65&RID=KNC2M38501N"",""XP_059455168.1"")"
hypothetical protein like AT5G17540 [Hibiscus trionum],Hibiscus trionum,401,401,97%,1e-132,46.39,457,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GMI85448.1?report=genbank&log$=prottop&blast_rank=66&RID=KNC2M38501N"",""GMI85448.1"")"
hypothetical protein K2173_012234 [Erythroxylum novogranatense],Erythroxylum novogranatense,401,401,94%,1e-132,46.86,456,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ8762742.1?report=genbank&log$=prottop&blast_rank=67&RID=KNC2M38501N"",""KAJ8762742.1"")"
benzyl alcohol O-benzoyltransferase-like [Cucurbita maxima],Cucurbita maxima,401,401,95%,1e-132,46.99,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023007354.1?report=genbank&log$=prottop&blast_rank=68&RID=KNC2M38501N"",""XP_023007354.1"")"
hypothetical protein NE237_030443 [Protea cynaroides],Protea cynaroides,402,402,98%,2e-132,45.47,488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ4953611.1?report=genbank&log$=prottop&blast_rank=69&RID=KNC2M38501N"",""KAJ4953611.1"")"
hypothetical protein HHK36_028335 [Tetracentron sinense],Tetracentron sinense,400,400,95%,2e-132,48.32,457,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF8380840.1?report=genbank&log$=prottop&blast_rank=70&RID=KNC2M38501N"",""KAF8380840.1"")"
Benzyl alcohol O-benzoyltransferase [Apostasia shenzhenica],Apostasia shenzhenica,400,400,95%,2e-132,47.87,453,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PKA45699.1?report=genbank&log$=prottop&blast_rank=71&RID=KNC2M38501N"",""PKA45699.1"")"
hypothetical protein FH972_016114 [Carpinus fangiana],Carpinus fangiana,400,400,96%,2e-132,47.69,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8077559.1?report=genbank&log$=prottop&blast_rank=72&RID=KNC2M38501N"",""KAE8077559.1"")"
benzyl alcohol O-benzoyltransferase-like [Cucurbita moschata],Cucurbita moschata,400,400,95%,3e-132,46.99,454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_022948214.1?report=genbank&log$=prottop&blast_rank=73&RID=KNC2M38501N"",""XP_022948214.1"")"
Benzyl alcohol O-benzoyltransferase [Cucurbita argyrosperma subsp. sororia],Cucurbita argyrosperma subsp. sororia,400,400,95%,3e-132,46.99,454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6605171.1?report=genbank&log$=prottop&blast_rank=74&RID=KNC2M38501N"",""KAG6605171.1"")"
benzyl alcohol O-benzoyltransferase [Nicotiana tabacum],Nicotiana tabacum,400,400,95%,3e-132,48.54,460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BDU78987.1?report=genbank&log$=prottop&blast_rank=75&RID=KNC2M38501N"",""BDU78987.1"")"
benzyl alcohol O-benzoyltransferase [Citrus sinensis],Citrus sinensis,400,400,98%,3e-132,48.37,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006484694.1?report=genbank&log$=prottop&blast_rank=76&RID=KNC2M38501N"",""XP_006484694.1"")"
benzyl alcohol O-benzoyltransferase-like [Cucurbita maxima],Cucurbita maxima,400,400,95%,3e-132,46.64,461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_022986523.1?report=genbank&log$=prottop&blast_rank=77&RID=KNC2M38501N"",""XP_022986523.1"")"
hypothetical protein J5N97_018911 [Dioscorea zingiberensis],Dioscorea zingiberensis,400,400,95%,4e-132,48.10,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ0970952.1?report=genbank&log$=prottop&blast_rank=78&RID=KNC2M38501N"",""KAJ0970952.1"")"
Benzyl alcohol O-benzoyltransferase [Trifolium repens],Trifolium repens,400,400,94%,4e-132,47.31,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WJX17099.1?report=genbank&log$=prottop&blast_rank=79&RID=KNC2M38501N"",""WJX17099.1"")"
Benzoyl coenzyme A: Benzyl alcohol benzoyl transferase [Theobroma cacao],Theobroma cacao,400,400,96%,4e-132,47.90,454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EOY10290.1?report=genbank&log$=prottop&blast_rank=80&RID=KNC2M38501N"",""EOY10290.1"")"
benzyl alcohol O-benzoyltransferase [Solanum verrucosum],Solanum verrucosum,400,400,95%,4e-132,48.21,467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_049374758.1?report=genbank&log$=prottop&blast_rank=81&RID=KNC2M38501N"",""XP_049374758.1"")"
benzyl alcohol O-benzoyltransferase isoform X3 [Rhodamnia argentea],Rhodamnia argentea,400,400,94%,4e-132,48.87,456,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030540707.1?report=genbank&log$=prottop&blast_rank=82&RID=KNC2M38501N"",""XP_030540707.1"")"
benzyl alcohol O-benzoyltransferase [Citrus x clementina],Citrus x clementina,400,400,98%,4e-132,48.37,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006437408.1?report=genbank&log$=prottop&blast_rank=83&RID=KNC2M38501N"",""XP_006437408.1"")"
benzyl alcohol O-benzoyltransferase [Jatropha curcas],Jatropha curcas,400,400,97%,5e-132,45.63,459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012070283.1?report=genbank&log$=prottop&blast_rank=84&RID=KNC2M38501N"",""XP_012070283.1"")"
hypothetical protein J1N35_045061 [Gossypium stocksii],Gossypium stocksii,399,399,96%,5e-132,47.36,454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH1032887.1?report=genbank&log$=prottop&blast_rank=85&RID=KNC2M38501N"",""KAH1032887.1"")"
benzyl alcohol O-benzoyltransferase-like [Herrania umbratica],Herrania umbratica,399,399,96%,5e-132,47.68,454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_021282796.1?report=genbank&log$=prottop&blast_rank=86&RID=KNC2M38501N"",""XP_021282796.1"")"
benzyl alcohol O-benzoyltransferase [Camellia sinensis],Camellia sinensis,400,400,95%,5e-132,47.77,463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_028089718.1?report=genbank&log$=prottop&blast_rank=87&RID=KNC2M38501N"",""XP_028089718.1"")"
hypothetical protein Vadar_027850 [Vaccinium darrowii],Vaccinium darrowii,400,400,97%,5e-132,46.64,463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH7850092.1?report=genbank&log$=prottop&blast_rank=88&RID=KNC2M38501N"",""KAH7850092.1"")"
benzyl alcohol O-benzoyltransferase-like [Vigna radiata var. radiata],Vigna radiata var. radiata,399,399,94%,6e-132,48.18,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014517077.1?report=genbank&log$=prottop&blast_rank=89&RID=KNC2M38501N"",""XP_014517077.1"")"
hypothetical protein HYC85_000161 [Camellia sinensis],Camellia sinensis,400,400,95%,6e-132,47.77,463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF5958952.1?report=genbank&log$=prottop&blast_rank=90&RID=KNC2M38501N"",""KAF5958952.1"")"
Benzyl alcohol O-benzoyltransferase [Gossypium australe],Gossypium australe,399,399,96%,6e-132,46.70,454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAA3486560.1?report=genbank&log$=prottop&blast_rank=91&RID=KNC2M38501N"",""KAA3486560.1"")"
PREDICTED: benzyl alcohol O-benzoyltransferase [Prunus mume],Prunus mume,399,399,95%,7e-132,46.76,461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008232530.1?report=genbank&log$=prottop&blast_rank=92&RID=KNC2M38501N"",""XP_008232530.1"")"
benzyl alcohol O-benzoyltransferase [Nicotiana tomentosiformis],Nicotiana tomentosiformis,399,399,95%,8e-132,48.31,460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009619718.1?report=genbank&log$=prottop&blast_rank=93&RID=KNC2M38501N"",""XP_009619718.1"")"
