Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Ldh family oxidoreductase [Pseudomonas syringae group genomosp. 3],Pseudomonas syringae group genomosp. 3,680,680,100%,0.0,98.25,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_104698509.1?report=genbank&log$=prottop&blast_rank=11&RID=M3CA9EDC016"",""WP_104698509.1"")"
Ldh family oxidoreductase [Pseudomonas syringae],Pseudomonas syringae,680,680,99%,0.0,98.83,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_161467778.1?report=genbank&log$=prottop&blast_rank=12&RID=M3CA9EDC016"",""WP_161467778.1"")"
Ldh family oxidoreductase [Pseudomonas syringae group genomosp. 3],Pseudomonas syringae group genomosp. 3,679,679,100%,0.0,98.25,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_122277410.1?report=genbank&log$=prottop&blast_rank=13&RID=M3CA9EDC016"",""WP_122277410.1"")"
lactate dehydrogenase [Pseudomonas syringae group genomosp. 3],Pseudomonas syringae group genomosp. 3,679,679,100%,0.0,98.25,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/POD69486.1?report=genbank&log$=prottop&blast_rank=14&RID=M3CA9EDC016"",""POD69486.1"")"
Ldh family oxidoreductase [Pseudomonas syringae group],Pseudomonas syringae group,678,678,100%,0.0,97.96,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_005738816.1?report=genbank&log$=prottop&blast_rank=15&RID=M3CA9EDC016"",""WP_005738816.1"")"
Ldh family oxidoreductase [Pseudomonas syringae group genomosp. 3],Pseudomonas syringae group genomosp. 3,678,678,100%,0.0,98.55,344,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_044422270.1?report=genbank&log$=prottop&blast_rank=16&RID=M3CA9EDC016"",""WP_044422270.1"")"
Ldh family oxidoreductase [Pseudomonas syringae],Pseudomonas syringae,677,677,99%,0.0,98.54,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_161461220.1?report=genbank&log$=prottop&blast_rank=17&RID=M3CA9EDC016"",""WP_161461220.1"")"
Ldh family oxidoreductase [Pseudomonas syringae group genomosp. 3],Pseudomonas syringae group genomosp. 3,677,677,100%,0.0,98.25,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_122389588.1?report=genbank&log$=prottop&blast_rank=18&RID=M3CA9EDC016"",""WP_122389588.1"")"
Ldh family oxidoreductase [Pseudomonas syringae],Pseudomonas syringae,677,677,99%,0.0,98.54,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_029240735.1?report=genbank&log$=prottop&blast_rank=19&RID=M3CA9EDC016"",""WP_029240735.1"")"
Ldh family oxidoreductase [Pseudomonas syringae],Pseudomonas syringae,677,677,99%,0.0,98.54,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_020342870.1?report=genbank&log$=prottop&blast_rank=20&RID=M3CA9EDC016"",""WP_020342870.1"")"
Ldh family oxidoreductase [Pseudomonas syringae group genomosp. 3],Pseudomonas syringae group genomosp. 3,677,677,100%,0.0,97.96,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_122283896.1?report=genbank&log$=prottop&blast_rank=21&RID=M3CA9EDC016"",""WP_122283896.1"")"
Ldh family oxidoreductase [Pseudomonas syringae],Pseudomonas syringae,676,676,100%,0.0,97.96,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_024678860.1?report=genbank&log$=prottop&blast_rank=22&RID=M3CA9EDC016"",""WP_024678860.1"")"
Ldh family oxidoreductase [Pseudomonas syringae],Pseudomonas syringae,676,676,99%,0.0,98.25,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_058974527.1?report=genbank&log$=prottop&blast_rank=23&RID=M3CA9EDC016"",""WP_058974527.1"")"
Ldh family oxidoreductase [Pseudomonas syringae group],Pseudomonas syringae group,676,676,100%,0.0,97.67,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_024658395.1?report=genbank&log$=prottop&blast_rank=24&RID=M3CA9EDC016"",""WP_024658395.1"")"
Ldh family oxidoreductase [Pseudomonas syringae group genomosp. 3],Pseudomonas syringae group genomosp. 3,675,675,99%,0.0,97.95,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_122293046.1?report=genbank&log$=prottop&blast_rank=25&RID=M3CA9EDC016"",""WP_122293046.1"")"
Ldh family oxidoreductase [Pseudomonas syringae],Pseudomonas syringae,674,674,100%,0.0,97.38,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_258245997.1?report=genbank&log$=prottop&blast_rank=26&RID=M3CA9EDC016"",""WP_258245997.1"")"
Ldh family oxidoreductase [Pseudomonas syringae],Pseudomonas syringae,674,674,99%,0.0,98.25,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_017700659.1?report=genbank&log$=prottop&blast_rank=27&RID=M3CA9EDC016"",""WP_017700659.1"")"
Ldh family oxidoreductase [Pseudomonas avellanae],Pseudomonas avellanae,673,673,99%,0.0,97.95,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_005617468.1?report=genbank&log$=prottop&blast_rank=28&RID=M3CA9EDC016"",""WP_005617468.1"")"
Ldh family oxidoreductase [Pseudomonas syringae],Pseudomonas syringae,673,673,99%,0.0,98.25,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_003382426.1?report=genbank&log$=prottop&blast_rank=29&RID=M3CA9EDC016"",""WP_003382426.1"")"
Ldh family oxidoreductase [Pseudomonas syringae pv. actinidifoliorum],Pseudomonas syringae pv. actinidifoliorum,672,672,99%,0.0,97.95,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDU8429253.1?report=genbank&log$=prottop&blast_rank=30&RID=M3CA9EDC016"",""MDU8429253.1"")"
Ldh family oxidoreductase [Pseudomonas syringae group genomosp. 3],Pseudomonas syringae group genomosp. 3,672,672,99%,0.0,97.95,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_122318382.1?report=genbank&log$=prottop&blast_rank=31&RID=M3CA9EDC016"",""WP_122318382.1"")"
Ldh family oxidoreductase [Pseudomonas syringae],Pseudomonas syringae,671,671,100%,0.0,97.67,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_024681017.1?report=genbank&log$=prottop&blast_rank=32&RID=M3CA9EDC016"",""WP_024681017.1"")"
Ldh family oxidoreductase [Pseudomonas syringae],Pseudomonas syringae,671,671,99%,0.0,97.95,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_020304922.1?report=genbank&log$=prottop&blast_rank=33&RID=M3CA9EDC016"",""WP_020304922.1"")"
Ldh family oxidoreductase [Pseudomonas syringae],Pseudomonas syringae,671,671,100%,0.0,97.96,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_236535806.1?report=genbank&log$=prottop&blast_rank=34&RID=M3CA9EDC016"",""WP_236535806.1"")"
Ldh family oxidoreductase [Pseudomonas syringae group genomosp. 3],Pseudomonas syringae group genomosp. 3,669,669,97%,0.0,99.40,334,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_057415723.1?report=genbank&log$=prottop&blast_rank=35&RID=M3CA9EDC016"",""WP_057415723.1"")"
ureidoglycolate dehydrogenase [Pseudomonas syringae pv. actinidiae],Pseudomonas syringae pv. actinidiae,655,655,98%,0.0,96.21,350,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GAO95008.1?report=genbank&log$=prottop&blast_rank=36&RID=M3CA9EDC016"",""GAO95008.1"")"
Ldh family oxidoreductase [Pseudomonas syringae],Pseudomonas syringae,639,639,94%,0.0,98.46,326,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_019333896.1?report=genbank&log$=prottop&blast_rank=37&RID=M3CA9EDC016"",""WP_019333896.1"")"
Ldh family oxidoreductase [Pseudomonas],Pseudomonas,628,628,99%,0.0,90.64,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_058400202.1?report=genbank&log$=prottop&blast_rank=38&RID=M3CA9EDC016"",""WP_058400202.1"")"
Ldh family oxidoreductase [Pseudomonas syringae],Pseudomonas syringae,626,626,99%,0.0,90.94,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDU8500955.1?report=genbank&log$=prottop&blast_rank=39&RID=M3CA9EDC016"",""MDU8500955.1"")"
Ldh family oxidoreductase [Pseudomonas syringae group],Pseudomonas syringae group,625,625,99%,0.0,90.35,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_060403658.1?report=genbank&log$=prottop&blast_rank=40&RID=M3CA9EDC016"",""WP_060403658.1"")"
Ldh family oxidoreductase [Pseudomonas sp. RGM 3321],Pseudomonas sp. RGM 3321,625,625,99%,0.0,90.35,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_244395684.1?report=genbank&log$=prottop&blast_rank=41&RID=M3CA9EDC016"",""WP_244395684.1"")"
Ldh family oxidoreductase [Pseudomonas amygdali],Pseudomonas amygdali,624,624,99%,0.0,90.06,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_005746779.1?report=genbank&log$=prottop&blast_rank=42&RID=M3CA9EDC016"",""WP_005746779.1"")"
Ldh family oxidoreductase [Pseudomonas amygdali],Pseudomonas amygdali,624,624,99%,0.0,90.06,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_057407657.1?report=genbank&log$=prottop&blast_rank=43&RID=M3CA9EDC016"",""WP_057407657.1"")"
Ldh family oxidoreductase [Pseudomonas amygdali],Pseudomonas amygdali,624,624,99%,0.0,90.06,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_198702348.1?report=genbank&log$=prottop&blast_rank=44&RID=M3CA9EDC016"",""WP_198702348.1"")"
Ldh family oxidoreductase [Pseudomonas syringae group],Pseudomonas syringae group,623,623,99%,0.0,90.06,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_122259689.1?report=genbank&log$=prottop&blast_rank=45&RID=M3CA9EDC016"",""WP_122259689.1"")"
Ldh family oxidoreductase [Pseudomonas amygdali],Pseudomonas amygdali,623,623,99%,0.0,90.06,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_117140360.1?report=genbank&log$=prottop&blast_rank=46&RID=M3CA9EDC016"",""WP_117140360.1"")"
Ldh family oxidoreductase [Pseudomonas syringae group genomosp. 2],Pseudomonas syringae group genomosp. 2,622,622,99%,0.0,89.77,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_122322404.1?report=genbank&log$=prottop&blast_rank=47&RID=M3CA9EDC016"",""WP_122322404.1"")"
Ldh family oxidoreductase [Pseudomonas syringae group sp. 26L6],Pseudomonas syringae group sp. 26L6,622,622,99%,0.0,89.77,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_316893325.1?report=genbank&log$=prottop&blast_rank=48&RID=M3CA9EDC016"",""WP_316893325.1"")"
Ldh family oxidoreductase [Pseudomonas syringae group],Pseudomonas syringae group,622,622,99%,0.0,89.77,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_005779808.1?report=genbank&log$=prottop&blast_rank=49&RID=M3CA9EDC016"",""WP_005779808.1"")"
Ldh family oxidoreductase [Pseudomonas syringae group],Pseudomonas syringae group,622,622,99%,0.0,90.06,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_057404372.1?report=genbank&log$=prottop&blast_rank=50&RID=M3CA9EDC016"",""WP_057404372.1"")"
Ldh family oxidoreductase [Pseudomonas savastanoi],Pseudomonas savastanoi,622,622,99%,0.0,90.06,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_122390394.1?report=genbank&log$=prottop&blast_rank=51&RID=M3CA9EDC016"",""WP_122390394.1"")"
Ldh family oxidoreductase [Pseudomonas savastanoi],Pseudomonas savastanoi,622,622,99%,0.0,90.06,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_004665155.1?report=genbank&log$=prottop&blast_rank=52&RID=M3CA9EDC016"",""WP_004665155.1"")"
Ldh family oxidoreductase [Pseudomonas ficuserectae],Pseudomonas ficuserectae,622,622,99%,0.0,89.77,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_054995078.1?report=genbank&log$=prottop&blast_rank=53&RID=M3CA9EDC016"",""WP_054995078.1"")"
Ldh family oxidoreductase [Pseudomonas],Pseudomonas,622,622,99%,0.0,89.77,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_002553139.1?report=genbank&log$=prottop&blast_rank=54&RID=M3CA9EDC016"",""WP_002553139.1"")"
Ldh family oxidoreductase [Pseudomonas amygdali],Pseudomonas amygdali,622,622,99%,0.0,89.77,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_054097057.1?report=genbank&log$=prottop&blast_rank=55&RID=M3CA9EDC016"",""WP_054097057.1"")"
Ldh family oxidoreductase [Pseudomonas amygdali],Pseudomonas amygdali,622,622,99%,0.0,89.77,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_054076379.1?report=genbank&log$=prottop&blast_rank=56&RID=M3CA9EDC016"",""WP_054076379.1"")"
Ldh family oxidoreductase [Pseudomonas syringae group sp. J254-4],Pseudomonas syringae group sp. J254-4,622,622,99%,0.0,89.77,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_316887233.1?report=genbank&log$=prottop&blast_rank=57&RID=M3CA9EDC016"",""WP_316887233.1"")"
Ldh family oxidoreductase [Pseudomonas syringae group],Pseudomonas syringae group,621,621,99%,0.0,89.47,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_005732581.1?report=genbank&log$=prottop&blast_rank=58&RID=M3CA9EDC016"",""WP_005732581.1"")"
malate/L-lactate family dehydrogenase [Pseudomonas amygdali pv. mori str. 301020],Pseudomonas amygdali pv. mori str. 301020,621,621,99%,0.0,89.47,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EGH20961.1?report=genbank&log$=prottop&blast_rank=59&RID=M3CA9EDC016"",""EGH20961.1"")"
Ldh family oxidoreductase [Pseudomonas savastanoi],Pseudomonas savastanoi,621,621,99%,0.0,89.77,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_019741383.1?report=genbank&log$=prottop&blast_rank=60&RID=M3CA9EDC016"",""WP_019741383.1"")"
Ldh family oxidoreductase [Pseudomonas syringae group],Pseudomonas syringae group,621,621,99%,0.0,89.77,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_057432615.1?report=genbank&log$=prottop&blast_rank=61&RID=M3CA9EDC016"",""WP_057432615.1"")"
Ldh family oxidoreductase [Pseudomonas syringae group],Pseudomonas syringae group,621,621,99%,0.0,89.77,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_054071173.1?report=genbank&log$=prottop&blast_rank=62&RID=M3CA9EDC016"",""WP_054071173.1"")"
Ldh family oxidoreductase [Pseudomonas amygdali],Pseudomonas amygdali,620,620,99%,0.0,89.47,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_057425857.1?report=genbank&log$=prottop&blast_rank=63&RID=M3CA9EDC016"",""WP_057425857.1"")"
Ldh family oxidoreductase [Pseudomonas amygdali],Pseudomonas amygdali,620,620,99%,0.0,89.47,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_057422146.1?report=genbank&log$=prottop&blast_rank=64&RID=M3CA9EDC016"",""WP_057422146.1"")"
Ldh family oxidoreductase [Pseudomonas syringae],Pseudomonas syringae,620,620,99%,0.0,89.77,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_044321532.1?report=genbank&log$=prottop&blast_rank=65&RID=M3CA9EDC016"",""WP_044321532.1"")"
Ldh family oxidoreductase [Pseudomonas],Pseudomonas,620,620,99%,0.0,89.77,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_011168387.1?report=genbank&log$=prottop&blast_rank=66&RID=M3CA9EDC016"",""WP_011168387.1"")"
Malate/L-lactate family dehydrogenase [Pseudomonas syringae pv. broussonetiae],Pseudomonas syringae pv. broussonetiae,620,620,99%,0.0,89.47,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KPW66281.1?report=genbank&log$=prottop&blast_rank=67&RID=M3CA9EDC016"",""KPW66281.1"")"
Ldh family oxidoreductase [Pseudomonas amygdali],Pseudomonas amygdali,620,620,99%,0.0,89.18,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_057412278.1?report=genbank&log$=prottop&blast_rank=68&RID=M3CA9EDC016"",""WP_057412278.1"")"
Ldh family oxidoreductase [Pseudomonas savastanoi],Pseudomonas savastanoi,619,619,99%,0.0,89.18,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_135005829.1?report=genbank&log$=prottop&blast_rank=69&RID=M3CA9EDC016"",""WP_135005829.1"")"
Ldh family oxidoreductase [Pseudomonas meliae],Pseudomonas meliae,618,618,99%,0.0,89.18,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_044343784.1?report=genbank&log$=prottop&blast_rank=70&RID=M3CA9EDC016"",""WP_044343784.1"")"
Ldh family oxidoreductase [Pseudomonas amygdali],Pseudomonas amygdali,618,618,99%,0.0,89.18,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_219171300.1?report=genbank&log$=prottop&blast_rank=71&RID=M3CA9EDC016"",""WP_219171300.1"")"
Ldh family oxidoreductase [Pseudomonas syringae],Pseudomonas syringae,617,617,100%,0.0,91.84,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_099266446.1?report=genbank&log$=prottop&blast_rank=72&RID=M3CA9EDC016"",""WP_099266446.1"")"
Ldh family oxidoreductase [Pseudomonas amygdali],Pseudomonas amygdali,617,617,99%,0.0,89.18,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_016981982.1?report=genbank&log$=prottop&blast_rank=73&RID=M3CA9EDC016"",""WP_016981982.1"")"
Ldh family oxidoreductase [Pseudomonas savastanoi],Pseudomonas savastanoi,617,617,99%,0.0,89.18,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_057454790.1?report=genbank&log$=prottop&blast_rank=74&RID=M3CA9EDC016"",""WP_057454790.1"")"
Dehydrogenase [Pseudomonas syringae pv. maculicola],Pseudomonas syringae pv. maculicola,617,617,99%,0.0,89.47,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KPB79285.1?report=genbank&log$=prottop&blast_rank=75&RID=M3CA9EDC016"",""KPB79285.1"")"
Ldh family oxidoreductase [Pseudomonas syringae],Pseudomonas syringae,616,616,100%,0.0,91.55,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_248697547.1?report=genbank&log$=prottop&blast_rank=76&RID=M3CA9EDC016"",""WP_248697547.1"")"
Ldh family oxidoreductase [Pseudomonas congelans],Pseudomonas congelans,616,616,100%,0.0,90.09,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_096131384.1?report=genbank&log$=prottop&blast_rank=77&RID=M3CA9EDC016"",""WP_096131384.1"")"
Ldh family oxidoreductase [Pseudomonas syringae group],Pseudomonas syringae group,616,616,100%,0.0,87.46,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_054086905.1?report=genbank&log$=prottop&blast_rank=78&RID=M3CA9EDC016"",""WP_054086905.1"")"
Malate/L-lactate dehydrogenase [Pseudomonas syringae pv. papulans],Pseudomonas syringae pv. papulans,616,616,100%,0.0,91.55,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KPY25259.1?report=genbank&log$=prottop&blast_rank=79&RID=M3CA9EDC016"",""KPY25259.1"")"
Ldh family oxidoreductase [Pseudomonas syringae],Pseudomonas syringae,615,615,100%,0.0,91.25,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_096127724.1?report=genbank&log$=prottop&blast_rank=80&RID=M3CA9EDC016"",""WP_096127724.1"")"
Ldh family oxidoreductase [Pseudomonas syringae],Pseudomonas syringae,615,615,100%,0.0,91.55,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_044308298.1?report=genbank&log$=prottop&blast_rank=81&RID=M3CA9EDC016"",""WP_044308298.1"")"
Ldh family oxidoreductase [Pseudomonas],Pseudomonas,615,615,100%,0.0,91.55,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_128774671.1?report=genbank&log$=prottop&blast_rank=82&RID=M3CA9EDC016"",""WP_128774671.1"")"
Malate/L-lactate dehydrogenase [Pseudomonas syringae pv. aceris],Pseudomonas syringae pv. aceris,614,614,100%,0.0,91.25,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RMS21695.1?report=genbank&log$=prottop&blast_rank=83&RID=M3CA9EDC016"",""RMS21695.1"")"
Ldh family oxidoreductase [Pseudomonas congelans],Pseudomonas congelans,614,614,100%,0.0,89.50,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_054993009.1?report=genbank&log$=prottop&blast_rank=84&RID=M3CA9EDC016"",""WP_054993009.1"")"
Ldh family oxidoreductase [Pseudomonas cerasi],Pseudomonas cerasi,614,614,100%,0.0,91.55,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_065350057.1?report=genbank&log$=prottop&blast_rank=85&RID=M3CA9EDC016"",""WP_065350057.1"")"
Ldh family oxidoreductase [Pseudomonas sp. MWU16-30316],Pseudomonas sp. MWU16-30316,614,614,100%,0.0,91.25,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_226439510.1?report=genbank&log$=prottop&blast_rank=86&RID=M3CA9EDC016"",""WP_226439510.1"")"
Ldh family oxidoreductase [Pseudomonas syringae group genomosp. 3],Pseudomonas syringae group genomosp. 3,614,614,100%,0.0,87.76,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_122223089.1?report=genbank&log$=prottop&blast_rank=87&RID=M3CA9EDC016"",""WP_122223089.1"")"
Ldh family oxidoreductase [Pseudomonas syringae pv. syringae],Pseudomonas syringae pv. syringae,614,614,100%,0.0,90.96,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RVU51627.1?report=genbank&log$=prottop&blast_rank=88&RID=M3CA9EDC016"",""RVU51627.1"")"
Ldh family oxidoreductase [Pseudomonas],Pseudomonas,613,613,100%,0.0,91.25,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_074808490.1?report=genbank&log$=prottop&blast_rank=89&RID=M3CA9EDC016"",""WP_074808490.1"")"
Ldh family oxidoreductase [Pseudomonas syringae],Pseudomonas syringae,613,613,100%,0.0,90.96,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_248671410.1?report=genbank&log$=prottop&blast_rank=90&RID=M3CA9EDC016"",""WP_248671410.1"")"
Ldh family oxidoreductase [Pseudomonas syringae group genomosp. 7],Pseudomonas syringae group genomosp. 7,613,613,100%,0.0,88.05,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_122391300.1?report=genbank&log$=prottop&blast_rank=91&RID=M3CA9EDC016"",""WP_122391300.1"")"
Ldh family oxidoreductase [Pseudomonas syringae],Pseudomonas syringae,612,612,100%,0.0,91.25,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_122241325.1?report=genbank&log$=prottop&blast_rank=92&RID=M3CA9EDC016"",""WP_122241325.1"")"
Ldh family oxidoreductase [Pseudomonas],Pseudomonas,612,612,100%,0.0,91.25,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_072364717.1?report=genbank&log$=prottop&blast_rank=93&RID=M3CA9EDC016"",""WP_072364717.1"")"
Ldh family oxidoreductase [Pseudomonas syringae],Pseudomonas syringae,612,612,100%,0.0,91.25,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_058397555.1?report=genbank&log$=prottop&blast_rank=94&RID=M3CA9EDC016"",""WP_058397555.1"")"
