Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
putative CYP719 [synthetic construct],synthetic construct,501,501,99%,7e-171,48.60,496,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58168.1?report=genbank&log$=prottop&blast_rank=11&RID=M3BKBE2Z016"",""ANY58168.1"")"
hypothetical protein AQUCO_02200105v1 [Aquilegia coerulea],Aquilegia coerulea,501,501,99%,1e-170,48.00,491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PIA41454.1?report=genbank&log$=prottop&blast_rank=12&RID=M3BKBE2Z016"",""PIA41454.1"")"
hypothetical protein AQUCO_02000479v1 [Aquilegia coerulea],Aquilegia coerulea,500,500,92%,2e-170,50.22,494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PIA43054.1?report=genbank&log$=prottop&blast_rank=13&RID=M3BKBE2Z016"",""PIA43054.1"")"
CYP719A7 [synthetic construct],synthetic construct,498,498,92%,1e-169,50.00,494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58139.1?report=genbank&log$=prottop&blast_rank=14&RID=M3BKBE2Z016"",""ANY58139.1"")"
(S)-canadine synthase [Thalictrum thalictroides],Thalictrum thalictroides,496,496,92%,5e-169,50.32,492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF5183394.1?report=genbank&log$=prottop&blast_rank=15&RID=M3BKBE2Z016"",""KAF5183394.1"")"
Cytochrome P450 [Macleaya cordata],Macleaya cordata,496,496,99%,1e-168,49.60,490,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OVA11723.1?report=genbank&log$=prottop&blast_rank=16&RID=M3BKBE2Z016"",""OVA11723.1"")"
putative CYP719 [synthetic construct],synthetic construct,495,495,92%,2e-168,50.76,492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58161.1?report=genbank&log$=prottop&blast_rank=17&RID=M3BKBE2Z016"",""ANY58161.1"")"
putative CYP719 [synthetic construct],synthetic construct,495,495,93%,3e-168,51.60,496,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58164.1?report=genbank&log$=prottop&blast_rank=18&RID=M3BKBE2Z016"",""ANY58164.1"")"
hypothetical protein AQUCO_00100277v1 [Aquilegia coerulea],Aquilegia coerulea,494,494,99%,4e-168,47.21,494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PIA64703.1?report=genbank&log$=prottop&blast_rank=19&RID=M3BKBE2Z016"",""PIA64703.1"")"
CYP719A6 [synthetic construct],synthetic construct,494,494,99%,5e-168,47.21,494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58138.1?report=genbank&log$=prottop&blast_rank=20&RID=M3BKBE2Z016"",""ANY58138.1"")"
hypothetical protein AQUCO_04200188v1 [Aquilegia coerulea],Aquilegia coerulea,493,493,99%,2e-167,47.21,494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PIA33254.1?report=genbank&log$=prottop&blast_rank=21&RID=M3BKBE2Z016"",""PIA33254.1"")"
putative CYP719 [synthetic construct],synthetic construct,491,491,98%,8e-167,48.48,501,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58141.1?report=genbank&log$=prottop&blast_rank=22&RID=M3BKBE2Z016"",""ANY58141.1"")"
(S)-canadine synthase [Thalictrum thalictroides],Thalictrum thalictroides,489,489,93%,2e-166,49.68,464,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF5178002.1?report=genbank&log$=prottop&blast_rank=23&RID=M3BKBE2Z016"",""KAF5178002.1"")"
Cytochrome p450 [Thalictrum thalictroides],Thalictrum thalictroides,494,656,93%,4e-166,49.25,621,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF5205209.1?report=genbank&log$=prottop&blast_rank=24&RID=M3BKBE2Z016"",""KAF5205209.1"")"
putative CYP719 [synthetic construct],synthetic construct,489,489,94%,4e-166,48.95,497,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58163.1?report=genbank&log$=prottop&blast_rank=25&RID=M3BKBE2Z016"",""ANY58163.1"")"
(S)-canadine synthase-like [Magnolia sinica],Magnolia sinica,489,489,94%,5e-166,50.51,505,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_058075593.1?report=genbank&log$=prottop&blast_rank=26&RID=M3BKBE2Z016"",""XP_058075593.1"")"
putative CYP719 [synthetic construct],synthetic construct,489,489,99%,7e-166,47.40,490,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58140.1?report=genbank&log$=prottop&blast_rank=27&RID=M3BKBE2Z016"",""ANY58140.1"")"
hypothetical protein AQUCO_00100288v1 [Aquilegia coerulea],Aquilegia coerulea,489,489,99%,7e-166,46.80,494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PIA64716.1?report=genbank&log$=prottop&blast_rank=28&RID=M3BKBE2Z016"",""PIA64716.1"")"
putative CYP719 [synthetic construct],synthetic construct,488,488,98%,1e-165,46.56,502,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58185.1?report=genbank&log$=prottop&blast_rank=29&RID=M3BKBE2Z016"",""ANY58185.1"")"
putative CYP719 [synthetic construct],synthetic construct,488,488,93%,2e-165,50.63,503,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58181.1?report=genbank&log$=prottop&blast_rank=30&RID=M3BKBE2Z016"",""ANY58181.1"")"
putative CYP719 [synthetic construct],synthetic construct,487,487,99%,2e-165,48.00,490,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58148.1?report=genbank&log$=prottop&blast_rank=31&RID=M3BKBE2Z016"",""ANY58148.1"")"
(S)-canadine synthase [Thalictrum thalictroides],Thalictrum thalictroides,488,488,99%,3e-165,47.70,515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF5186938.1?report=genbank&log$=prottop&blast_rank=32&RID=M3BKBE2Z016"",""KAF5186938.1"")"
S-canadine synthase-like protein [Cinnamomum micranthum f. kanehirae],Cinnamomum micranthum f. kanehirae,486,486,94%,7e-165,50.32,498,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RWR90111.1?report=genbank&log$=prottop&blast_rank=33&RID=M3BKBE2Z016"",""RWR90111.1"")"
putative CYP719 [synthetic construct],synthetic construct,486,486,98%,7e-165,47.27,502,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58142.1?report=genbank&log$=prottop&blast_rank=34&RID=M3BKBE2Z016"",""ANY58142.1"")"
putative CYP719 [synthetic construct],synthetic construct,485,485,100%,1e-164,47.90,485,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58179.1?report=genbank&log$=prottop&blast_rank=35&RID=M3BKBE2Z016"",""ANY58179.1"")"
stylopine synthase [Chelidonium majus],Chelidonium majus,485,485,98%,1e-164,46.36,489,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ASG81439.1?report=genbank&log$=prottop&blast_rank=36&RID=M3BKBE2Z016"",""ASG81439.1"")"
putative CYP719 [synthetic construct],synthetic construct,485,485,100%,2e-164,46.22,504,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58160.1?report=genbank&log$=prottop&blast_rank=37&RID=M3BKBE2Z016"",""ANY58160.1"")"
putative CYP719 [synthetic construct],synthetic construct,485,485,98%,3e-164,46.36,509,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58150.1?report=genbank&log$=prottop&blast_rank=38&RID=M3BKBE2Z016"",""ANY58150.1"")"
putative CYP719 [synthetic construct],synthetic construct,485,485,93%,3e-164,50.53,501,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58165.1?report=genbank&log$=prottop&blast_rank=39&RID=M3BKBE2Z016"",""ANY58165.1"")"
S-canadine synthase-like protein [Cinnamomum micranthum f. kanehirae],Cinnamomum micranthum f. kanehirae,483,483,94%,8e-164,50.11,491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RWR90117.1?report=genbank&log$=prottop&blast_rank=40&RID=M3BKBE2Z016"",""RWR90117.1"")"
S-canadine synthase-like protein [Cinnamomum micranthum f. kanehirae],Cinnamomum micranthum f. kanehirae,483,483,94%,8e-164,50.11,491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RWR90112.1?report=genbank&log$=prottop&blast_rank=41&RID=M3BKBE2Z016"",""RWR90112.1"")"
hypothetical protein [Papaver nudicaule],Papaver nudicaule,483,483,97%,2e-163,47.65,494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL7037398.1?report=genbank&log$=prottop&blast_rank=42&RID=M3BKBE2Z016"",""MCL7037398.1"")"
RecName: Full=Cheilanthifoline synthase; Short=CHS; AltName: Full=Cytochrome P450 719A14 [Argemone mexicana],Argemone mexicana,483,483,97%,2e-163,49.39,494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/B1NF20.1?report=genbank&log$=prottop&blast_rank=43&RID=M3BKBE2Z016"",""B1NF20.1"")"
S-canadine synthase-like protein [Cinnamomum micranthum f. kanehirae],Cinnamomum micranthum f. kanehirae,483,483,96%,2e-163,49.48,499,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RWR90114.1?report=genbank&log$=prottop&blast_rank=44&RID=M3BKBE2Z016"",""RWR90114.1"")"
RecName: Full=Trifunctional (S)-stylopine synthase/(S)-nandinine synthase/(S)-canadine synthase; Short=STS; AltName: Full=Cytochrome P450 719A13 [Argemone mexicana],Argemone mexicana,481,481,95%,7e-163,48.02,504,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/B1NF19.1?report=genbank&log$=prottop&blast_rank=45&RID=M3BKBE2Z016"",""B1NF19.1"")"
hypothetical protein MKW98_001785 [Papaver atlanticum],Papaver atlanticum,481,481,95%,8e-163,47.60,494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI3867351.1?report=genbank&log$=prottop&blast_rank=46&RID=M3BKBE2Z016"",""KAI3867351.1"")"
S-canadine synthase-like protein [Cinnamomum micranthum f. kanehirae],Cinnamomum micranthum f. kanehirae,481,481,94%,9e-163,50.95,492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RWR90097.1?report=genbank&log$=prottop&blast_rank=47&RID=M3BKBE2Z016"",""RWR90097.1"")"
RecName: Full=Cheilanthifoline synthase; Short=CHS; AltName: Full=Cytochrome P450 719A5 [Eschscholzia californica],Eschscholzia californica,480,480,96%,1e-162,49.90,490,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/B5UAQ8.1?report=genbank&log$=prottop&blast_rank=48&RID=M3BKBE2Z016"",""B5UAQ8.1"")"
putative CYP719 [synthetic construct],synthetic construct,480,480,94%,1e-162,49.47,490,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58182.1?report=genbank&log$=prottop&blast_rank=49&RID=M3BKBE2Z016"",""ANY58182.1"")"
putative CYP719 [synthetic construct],synthetic construct,479,479,97%,2e-162,48.67,477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58184.1?report=genbank&log$=prottop&blast_rank=50&RID=M3BKBE2Z016"",""ANY58184.1"")"
hypothetical protein MRB53_001171 [Persea americana],Persea americana,480,480,96%,3e-162,48.19,504,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ8648148.1?report=genbank&log$=prottop&blast_rank=51&RID=M3BKBE2Z016"",""KAJ8648148.1"")"
S-canadine synthase-like protein [Cinnamomum micranthum f. kanehirae],Cinnamomum micranthum f. kanehirae,479,479,96%,4e-162,48.35,494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RWR90098.1?report=genbank&log$=prottop&blast_rank=52&RID=M3BKBE2Z016"",""RWR90098.1"")"
hypothetical protein HHK36_008411 [Tetracentron sinense],Tetracentron sinense,479,479,99%,5e-162,47.42,498,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF8406325.1?report=genbank&log$=prottop&blast_rank=53&RID=M3BKBE2Z016"",""KAF8406325.1"")"
putative CYP719 [synthetic construct],synthetic construct,479,479,99%,5e-162,46.20,503,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58143.1?report=genbank&log$=prottop&blast_rank=54&RID=M3BKBE2Z016"",""ANY58143.1"")"
PREDICTED: (S)-canadine synthase-like [Nelumbo nucifera],Nelumbo nucifera,479,479,97%,7e-162,47.76,495,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_010267084.1?report=genbank&log$=prottop&blast_rank=55&RID=M3BKBE2Z016"",""XP_010267084.1"")"
putative CYP719 [synthetic construct],synthetic construct,478,478,99%,1e-161,47.20,496,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58166.1?report=genbank&log$=prottop&blast_rank=56&RID=M3BKBE2Z016"",""ANY58166.1"")"
(S)-canadine synthase [Thalictrum thalictroides],Thalictrum thalictroides,477,477,99%,2e-161,48.21,493,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF5192636.1?report=genbank&log$=prottop&blast_rank=57&RID=M3BKBE2Z016"",""KAF5192636.1"")"
putative CYP719 [synthetic construct],synthetic construct,477,477,98%,3e-161,46.68,495,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58149.1?report=genbank&log$=prottop&blast_rank=58&RID=M3BKBE2Z016"",""ANY58149.1"")"
hypothetical protein MKX01_018788 [Papaver californicum],Papaver californicum,475,475,92%,3e-161,48.48,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI3986246.1?report=genbank&log$=prottop&blast_rank=59&RID=M3BKBE2Z016"",""KAI3986246.1"")"
putative CYP719 [synthetic construct],synthetic construct,476,476,100%,7e-161,46.91,500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58158.1?report=genbank&log$=prottop&blast_rank=60&RID=M3BKBE2Z016"",""ANY58158.1"")"
stylopine synthase [Chelidonium majus],Chelidonium majus,474,474,92%,2e-160,47.52,457,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AQX36282.2?report=genbank&log$=prottop&blast_rank=61&RID=M3BKBE2Z016"",""AQX36282.2"")"
hypothetical protein MKX03_028093 [Papaver bracteatum],Papaver bracteatum,474,474,92%,2e-160,48.81,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI3854715.1?report=genbank&log$=prottop&blast_rank=62&RID=M3BKBE2Z016"",""KAI3854715.1"")"
putative CYP719 [synthetic construct],synthetic construct,474,474,99%,2e-160,47.09,490,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58159.1?report=genbank&log$=prottop&blast_rank=63&RID=M3BKBE2Z016"",""ANY58159.1"")"
putative CYP719 [synthetic construct],synthetic construct,474,474,97%,5e-160,47.35,489,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58171.1?report=genbank&log$=prottop&blast_rank=64&RID=M3BKBE2Z016"",""ANY58171.1"")"
hypothetical protein HHK36_008409 [Tetracentron sinense],Tetracentron sinense,473,473,99%,9e-160,47.62,497,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF8406323.1?report=genbank&log$=prottop&blast_rank=65&RID=M3BKBE2Z016"",""KAF8406323.1"")"
hypothetical protein MKW92_031329 [Papaver armeniacum],Papaver armeniacum,473,473,98%,1e-159,47.25,488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI3840926.1?report=genbank&log$=prottop&blast_rank=66&RID=M3BKBE2Z016"",""KAI3840926.1"")"
putative CYP719 [synthetic construct],synthetic construct,473,473,94%,1e-159,49.26,490,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58183.1?report=genbank&log$=prottop&blast_rank=67&RID=M3BKBE2Z016"",""ANY58183.1"")"
(S)-stylopine synthase 1-like [Papaver somniferum],Papaver somniferum,471,471,99%,6e-159,46.92,494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026447360.1?report=genbank&log$=prottop&blast_rank=68&RID=M3BKBE2Z016"",""XP_026447360.1"")"
S-canadine synthase-like protein [Cinnamomum micranthum f. kanehirae],Cinnamomum micranthum f. kanehirae,471,471,94%,7e-159,49.47,493,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RWR90113.1?report=genbank&log$=prottop&blast_rank=69&RID=M3BKBE2Z016"",""RWR90113.1"")"
stylopine synthase [Chelidonium majus],Chelidonium majus,469,469,92%,9e-159,47.08,457,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QBK51011.1?report=genbank&log$=prottop&blast_rank=70&RID=M3BKBE2Z016"",""QBK51011.1"")"
hypothetical protein MKW98_032030 [Papaver atlanticum],Papaver atlanticum,469,469,92%,1e-158,48.16,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI3903376.1?report=genbank&log$=prottop&blast_rank=71&RID=M3BKBE2Z016"",""KAI3903376.1"")"
stylopine synthase [Papaver somniferum],Papaver somniferum,470,470,99%,1e-158,46.92,494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ADB89214.1?report=genbank&log$=prottop&blast_rank=72&RID=M3BKBE2Z016"",""ADB89214.1"")"
RecName: Full=Trifunctional (S)-stylopine synthase 2/(S)-nandinine synthase/(S)-canadine synthase; Short=STS; AltName: Full=Cytochrome P450 719A3; Short=EcCYP719A3; Short=EcCYPA [Eschscholzia californica],Eschscholzia californica,470,470,95%,1e-158,46.67,495,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q50LH4.1?report=genbank&log$=prottop&blast_rank=73&RID=M3BKBE2Z016"",""Q50LH4.1"")"
hypothetical protein MKX03_028095 [Papaver bracteatum],Papaver bracteatum,470,470,96%,2e-158,48.55,492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI3854717.1?report=genbank&log$=prottop&blast_rank=74&RID=M3BKBE2Z016"",""KAI3854717.1"")"
RecName: Full=(S)-canadine synthase CYP719A21; AltName: Full=Cytochrome P450 719A21 [Papaver somniferum],Papaver somniferum,469,469,97%,2e-158,47.35,488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/I3QBP4.1?report=genbank&log$=prottop&blast_rank=75&RID=M3BKBE2Z016"",""I3QBP4.1"")"
hypothetical protein [Papaver nudicaule],Papaver nudicaule,469,469,96%,3e-158,48.14,492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL7039105.1?report=genbank&log$=prottop&blast_rank=76&RID=M3BKBE2Z016"",""MCL7039105.1"")"
cheilanthifoline synthase [Papaver somniferum],Papaver somniferum,469,469,96%,4e-158,47.93,492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026447356.1?report=genbank&log$=prottop&blast_rank=77&RID=M3BKBE2Z016"",""XP_026447356.1"")"
hypothetical protein [Papaver nudicaule],Papaver nudicaule,469,469,96%,4e-158,47.73,492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL7036636.1?report=genbank&log$=prottop&blast_rank=78&RID=M3BKBE2Z016"",""MCL7036636.1"")"
hypothetical protein MKW92_004387 [Papaver armeniacum],Papaver armeniacum,469,469,96%,5e-158,47.93,492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI3870761.1?report=genbank&log$=prottop&blast_rank=79&RID=M3BKBE2Z016"",""KAI3870761.1"")"
CYP719A21 [synthetic construct],synthetic construct,468,468,97%,6e-158,47.35,485,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58174.1?report=genbank&log$=prottop&blast_rank=80&RID=M3BKBE2Z016"",""ANY58174.1"")"
CYP719A9 [synthetic construct],synthetic construct,469,469,98%,6e-158,46.46,495,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58154.1?report=genbank&log$=prottop&blast_rank=81&RID=M3BKBE2Z016"",""ANY58154.1"")"
trifunctional (S)-stylopine synthase/(S)-nandinine synthase/(S)-canadine synthase-like [Papaver somniferum],Papaver somniferum,468,468,97%,7e-158,47.35,486,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026425901.1?report=genbank&log$=prottop&blast_rank=82&RID=M3BKBE2Z016"",""XP_026425901.1"")"
hypothetical protein MKW92_006941 [Papaver armeniacum],Papaver armeniacum,468,468,98%,9e-158,46.84,488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI3900346.1?report=genbank&log$=prottop&blast_rank=83&RID=M3BKBE2Z016"",""KAI3900346.1"")"
cheilanthifoline synthase [Papaver somniferum],Papaver somniferum,468,468,96%,1e-157,47.93,492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ADB89213.1?report=genbank&log$=prottop&blast_rank=84&RID=M3BKBE2Z016"",""ADB89213.1"")"
putative CYP719 [synthetic construct],synthetic construct,468,468,98%,1e-157,47.07,501,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58167.1?report=genbank&log$=prottop&blast_rank=85&RID=M3BKBE2Z016"",""ANY58167.1"")"
hypothetical protein MKW92_032091 [Papaver armeniacum],Papaver armeniacum,468,468,96%,1e-157,47.93,492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI3924519.1?report=genbank&log$=prottop&blast_rank=86&RID=M3BKBE2Z016"",""KAI3924519.1"")"
hypothetical protein MRB53_015143 [Persea americana],Persea americana,468,468,93%,1e-157,48.63,492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ8618957.1?report=genbank&log$=prottop&blast_rank=87&RID=M3BKBE2Z016"",""KAJ8618957.1"")"
hypothetical protein MKW98_009075 [Papaver atlanticum],Papaver atlanticum,468,468,97%,2e-157,47.53,494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI3941865.1?report=genbank&log$=prottop&blast_rank=88&RID=M3BKBE2Z016"",""KAI3941865.1"")"
putative CYP719 [synthetic construct],synthetic construct,467,467,96%,2e-157,47.93,492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ANY58175.1?report=genbank&log$=prottop&blast_rank=89&RID=M3BKBE2Z016"",""ANY58175.1"")"
Cytochrome P450 [Macleaya cordata],Macleaya cordata,466,466,95%,4e-157,48.02,493,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OVA13716.1?report=genbank&log$=prottop&blast_rank=90&RID=M3BKBE2Z016"",""OVA13716.1"")"
hypothetical protein MKW92_021927 [Papaver armeniacum],Papaver armeniacum,466,466,98%,6e-157,47.18,489,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI3867843.1?report=genbank&log$=prottop&blast_rank=91&RID=M3BKBE2Z016"",""KAI3867843.1"")"
hypothetical protein MKW98_027114 [Papaver atlanticum],Papaver atlanticum,466,466,96%,6e-157,47.73,492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI3859517.1?report=genbank&log$=prottop&blast_rank=92&RID=M3BKBE2Z016"",""KAI3859517.1"")"
stylopine synthase [synthetic construct],synthetic construct,466,466,94%,7e-157,48.09,511,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHF65153.1?report=genbank&log$=prottop&blast_rank=93&RID=M3BKBE2Z016"",""AHF65153.1"")"
cheilanthifoline synthase-like [Papaver somniferum],Papaver somniferum,465,465,96%,1e-156,47.52,492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026449243.1?report=genbank&log$=prottop&blast_rank=94&RID=M3BKBE2Z016"",""XP_026449243.1"")"
hypothetical protein MRB53_015135 [Persea americana],Persea americana,465,465,94%,2e-156,48.62,491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ8618949.1?report=genbank&log$=prottop&blast_rank=95&RID=M3BKBE2Z016"",""KAJ8618949.1"")"
hypothetical protein MKW92_036410 [Papaver armeniacum],Papaver armeniacum,464,464,97%,2e-156,46.82,497,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI3949422.1?report=genbank&log$=prottop&blast_rank=96&RID=M3BKBE2Z016"",""KAI3949422.1"")"
hypothetical protein C5167_018254 [Papaver somniferum],Papaver somniferum,463,463,92%,3e-156,48.81,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RZC49831.1?report=genbank&log$=prottop&blast_rank=97&RID=M3BKBE2Z016"",""RZC49831.1"")"
