Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
alpha-humulene/(-)-(E)-beta-caryophyllene synthase [Citrus sinensis],Citrus sinensis,357,357,97%,7e-115,41.65,474,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH9803308.1?report=genbank&log$=prottop&blast_rank=37&RID=M3C6TRUW013"",""KAH9803308.1"")"
beta-eudesmol synthase isoform X2 [Elaeis guineensis],Elaeis guineensis,357,357,98%,1e-114,41.37,483,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019702729.1?report=genbank&log$=prottop&blast_rank=38&RID=M3C6TRUW013"",""XP_019702729.1"")"
germacrene C synthase-like isoform X2 [Ipomoea triloba],Ipomoea triloba,357,357,95%,2e-114,40.67,489,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031127843.1?report=genbank&log$=prottop&blast_rank=39&RID=M3C6TRUW013"",""XP_031127843.1"")"
probable sesquiterpene synthase isoform X3 [Citrus x clementina],Citrus x clementina,357,357,96%,2e-114,40.04,494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024033906.1?report=genbank&log$=prottop&blast_rank=40&RID=M3C6TRUW013"",""XP_024033906.1"")"
PREDICTED: (-)-germacrene D synthase-like isoform X2 [Nicotiana tabacum],Nicotiana tabacum,357,357,95%,2e-114,40.17,479,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016493324.1?report=genbank&log$=prottop&blast_rank=41&RID=M3C6TRUW013"",""XP_016493324.1"")"
alpha-humulene/(-)-(E)-beta-caryophyllene synthase [Citrus sinensis],Citrus sinensis,355,355,97%,7e-114,41.94,471,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH9651329.1?report=genbank&log$=prottop&blast_rank=42&RID=M3C6TRUW013"",""KAH9651329.1"")"
alpha-humulene synthase-like isoform X2 [Zingiber officinale],Zingiber officinale,354,354,96%,2e-113,40.42,477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_042428280.1?report=genbank&log$=prottop&blast_rank=43&RID=M3C6TRUW013"",""XP_042428280.1"")"
alpha-humulene/(-)-(E)-beta-caryophyllene synthase [Citrus sinensis],Citrus sinensis,353,353,97%,2e-113,41.74,471,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH9803309.1?report=genbank&log$=prottop&blast_rank=44&RID=M3C6TRUW013"",""KAH9803309.1"")"
hypothetical protein ZIOFF_008653 [Zingiber officinale],Zingiber officinale,354,354,96%,3e-113,38.54,496,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6534750.1?report=genbank&log$=prottop&blast_rank=45&RID=M3C6TRUW013"",""KAG6534750.1"")"
alpha-humulene synthase-like isoform X2 [Zingiber officinale],Zingiber officinale,353,353,96%,3e-113,40.62,477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_042448300.1?report=genbank&log$=prottop&blast_rank=46&RID=M3C6TRUW013"",""XP_042448300.1"")"
hypothetical protein ZIOFF_024000 [Zingiber officinale],Zingiber officinale,353,353,97%,6e-113,41.03,488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6513665.1?report=genbank&log$=prottop&blast_rank=47&RID=M3C6TRUW013"",""KAG6513665.1"")"
alpha-humulene/(-)-(E)-beta-caryophyllene synthase [Citrus sinensis],Citrus sinensis,356,356,97%,7e-113,41.94,574,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH9651328.1?report=genbank&log$=prottop&blast_rank=48&RID=M3C6TRUW013"",""KAH9651328.1"")"
PREDICTED: (-)-germacrene D synthase [Prunus dulcis],Prunus dulcis,353,353,96%,7e-113,40.29,484,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/VVA32546.1?report=genbank&log$=prottop&blast_rank=49&RID=M3C6TRUW013"",""VVA32546.1"")"
hypothetical protein PRUPE_4G198000 [Prunus persica],Prunus persica,352,352,96%,9e-113,40.29,484,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ONI13021.1?report=genbank&log$=prottop&blast_rank=50&RID=M3C6TRUW013"",""ONI13021.1"")"
hypothetical protein ZIOFF_043074 [Zingiber officinale],Zingiber officinale,352,352,95%,1e-112,39.66,474,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6495280.1?report=genbank&log$=prottop&blast_rank=51&RID=M3C6TRUW013"",""KAG6495280.1"")"
hypothetical protein ZIOFF_027937 [Zingiber officinale],Zingiber officinale,351,351,95%,3e-112,40.93,480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6509929.1?report=genbank&log$=prottop&blast_rank=52&RID=M3C6TRUW013"",""KAG6509929.1"")"
hypothetical protein I3842_05G187900 [Carya illinoinensis],Carya illinoinensis,350,350,94%,8e-112,40.04,493,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6714133.1?report=genbank&log$=prottop&blast_rank=53&RID=M3C6TRUW013"",""KAG6714133.1"")"
hypothetical protein ES288_D11G337100v1 [Gossypium darwinii],Gossypium darwinii,350,350,95%,1e-111,41.00,486,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TYG47424.1?report=genbank&log$=prottop&blast_rank=54&RID=M3C6TRUW013"",""TYG47424.1"")"
(-)-germacrene D synthase-like isoform X2 [Salvia miltiorrhiza],Salvia miltiorrhiza,350,350,95%,1e-111,40.34,486,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_057781644.1?report=genbank&log$=prottop&blast_rank=55&RID=M3C6TRUW013"",""XP_057781644.1"")"
(+)-delta-cadinene synthase isozyme A isoform X3 [Gossypium raimondii],Gossypium raimondii,349,349,95%,2e-111,40.17,487,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_052479373.1?report=genbank&log$=prottop&blast_rank=56&RID=M3C6TRUW013"",""XP_052479373.1"")"
hypothetical protein ZIOFF_039025 [Zingiber officinale],Zingiber officinale,348,348,95%,3e-111,39.66,474,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6499268.1?report=genbank&log$=prottop&blast_rank=57&RID=M3C6TRUW013"",""KAG6499268.1"")"
valencene synthase-like isoform X2 [Ipomoea triloba],Ipomoea triloba,349,349,98%,3e-111,39.63,487,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031098822.1?report=genbank&log$=prottop&blast_rank=58&RID=M3C6TRUW013"",""XP_031098822.1"")"
putative terpene synthase 2 [Senna tora],Senna tora,348,348,95%,4e-111,42.20,486,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF7833899.1?report=genbank&log$=prottop&blast_rank=59&RID=M3C6TRUW013"",""KAF7833899.1"")"
hypothetical protein POTOM_059885 [Populus tomentosa],Populus tomentosa,347,347,96%,4e-111,41.21,459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6737122.1?report=genbank&log$=prottop&blast_rank=60&RID=M3C6TRUW013"",""KAG6737122.1"")"
hypothetical protein JCGZ_09953 [Jatropha curcas],Jatropha curcas,348,348,99%,7e-111,37.36,510,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KDP36233.1?report=genbank&log$=prottop&blast_rank=61&RID=M3C6TRUW013"",""KDP36233.1"")"
sesquiterpene synthase 2-like isoform X2 [Amaranthus tricolor],Amaranthus tricolor,348,348,95%,7e-111,40.30,486,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_057539369.1?report=genbank&log$=prottop&blast_rank=62&RID=M3C6TRUW013"",""XP_057539369.1"")"
hypothetical protein ZIOFF_023992 [Zingiber officinale],Zingiber officinale,348,348,95%,8e-111,40.93,489,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6513659.1?report=genbank&log$=prottop&blast_rank=63&RID=M3C6TRUW013"",""KAG6513659.1"")"
hypothetical protein CISIN_1g008206mg [Citrus sinensis],Citrus sinensis,348,348,96%,2e-110,38.89,511,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KDO38265.1?report=genbank&log$=prottop&blast_rank=64&RID=M3C6TRUW013"",""KDO38265.1"")"
probable terpene synthase 2 isoform X3 [Arachis duranensis],Arachis duranensis,347,347,95%,3e-110,38.48,504,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_052109055.1?report=genbank&log$=prottop&blast_rank=65&RID=M3C6TRUW013"",""XP_052109055.1"")"
probable terpene synthase 2 isoform X2 [Arachis duranensis],Arachis duranensis,347,347,95%,3e-110,38.90,505,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_052109053.1?report=genbank&log$=prottop&blast_rank=66&RID=M3C6TRUW013"",""XP_052109053.1"")"
hypothetical protein E1A91_D11G326600v1 [Gossypium mustelinum],Gossypium mustelinum,345,345,95%,6e-110,39.87,486,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TYI58062.1?report=genbank&log$=prottop&blast_rank=67&RID=M3C6TRUW013"",""TYI58062.1"")"
hypothetical protein Patl1_04448 [Pistacia atlantica],Pistacia atlantica,343,343,89%,2e-109,42.70,450,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ0102225.1?report=genbank&log$=prottop&blast_rank=68&RID=M3C6TRUW013"",""KAJ0102225.1"")"
hypothetical protein ZIOFF_013742 [Zingiber officinale],Zingiber officinale,344,344,95%,3e-109,40.55,511,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6523855.1?report=genbank&log$=prottop&blast_rank=69&RID=M3C6TRUW013"",""KAG6523855.1"")"
hypothetical protein ZIOFF_027943 [Zingiber officinale],Zingiber officinale,346,346,95%,4e-109,40.93,582,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6509935.1?report=genbank&log$=prottop&blast_rank=70&RID=M3C6TRUW013"",""KAG6509935.1"")"
(-)-germacrene D synthase-like [Pyrus ussuriensis x Pyrus communis],Pyrus ussuriensis x Pyrus communis,342,342,95%,2e-108,41.05,482,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAB2630555.1?report=genbank&log$=prottop&blast_rank=71&RID=M3C6TRUW013"",""KAB2630555.1"")"
hypothetical protein POTOM_050596 [Populus tomentosa],Populus tomentosa,343,343,96%,3e-108,41.09,542,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6746083.1?report=genbank&log$=prottop&blast_rank=72&RID=M3C6TRUW013"",""KAG6746083.1"")"
hypothetical protein Patl1_04440 [Pistacia atlantica],Pistacia atlantica,340,340,97%,3e-108,40.37,457,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ0102231.1?report=genbank&log$=prottop&blast_rank=73&RID=M3C6TRUW013"",""KAJ0102231.1"")"
hypothetical protein ZIOFF_027939 [Zingiber officinale],Zingiber officinale,341,341,97%,4e-108,39.39,497,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6509931.1?report=genbank&log$=prottop&blast_rank=74&RID=M3C6TRUW013"",""KAG6509931.1"")"
hypothetical protein POTOM_050221 [Populus tomentosa],Populus tomentosa,339,339,96%,6e-108,40.79,457,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6745718.1?report=genbank&log$=prottop&blast_rank=75&RID=M3C6TRUW013"",""KAG6745718.1"")"
(-)-germacrene D synthase-like isoform X3 [Prunus persica],Prunus persica,340,340,95%,1e-107,40.29,489,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020418195.1?report=genbank&log$=prottop&blast_rank=76&RID=M3C6TRUW013"",""XP_020418195.1"")"
beta-caryophyllene synthase-like isoform X2 [Sesamum indicum],Sesamum indicum,338,338,98%,2e-107,37.30,479,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020553831.1?report=genbank&log$=prottop&blast_rank=77&RID=M3C6TRUW013"",""XP_020553831.1"")"
hypothetical protein ZIOFF_004249 [Zingiber officinale],Zingiber officinale,338,338,96%,4e-107,37.50,503,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6539096.1?report=genbank&log$=prottop&blast_rank=78&RID=M3C6TRUW013"",""KAG6539096.1"")"
(+)-germacrene D synthase-like [Zingiber officinale],Zingiber officinale,337,337,95%,5e-107,41.68,477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_042404583.1?report=genbank&log$=prottop&blast_rank=79&RID=M3C6TRUW013"",""XP_042404583.1"")"
hypothetical protein POTOM_050215 [Populus tomentosa],Populus tomentosa,337,337,96%,6e-107,40.46,456,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6745712.1?report=genbank&log$=prottop&blast_rank=80&RID=M3C6TRUW013"",""KAG6745712.1"")"
hypothetical protein POTOM_050597 [Populus tomentosa],Populus tomentosa,336,336,96%,8e-107,40.46,451,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6746084.1?report=genbank&log$=prottop&blast_rank=81&RID=M3C6TRUW013"",""KAG6746084.1"")"
alpha-humulene/(-)-(E)-beta-caryophyllene synthase [Citrus sinensis],Citrus sinensis,337,337,95%,1e-106,39.09,486,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH9651336.1?report=genbank&log$=prottop&blast_rank=82&RID=M3C6TRUW013"",""KAH9651336.1"")"
(-)-germacrene D synthase [Quillaja saponaria],Quillaja saponaria,338,338,98%,1e-106,38.49,508,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ7981646.1?report=genbank&log$=prottop&blast_rank=83&RID=M3C6TRUW013"",""KAJ7981646.1"")"
"PREDICTED: (E,E)-germacrene B synthase-like isoform X2 [Nicotiana tabacum]",Nicotiana tabacum,337,337,95%,3e-106,39.45,525,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016465323.1?report=genbank&log$=prottop&blast_rank=84&RID=M3C6TRUW013"",""XP_016465323.1"")"
hypothetical protein ZIOFF_023989 [Zingiber officinale],Zingiber officinale,336,336,97%,4e-106,38.97,489,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6513656.1?report=genbank&log$=prottop&blast_rank=85&RID=M3C6TRUW013"",""KAG6513656.1"")"
(+)-delta-cadinene synthase isozyme A [Hibiscus syriacus],Hibiscus syriacus,336,336,98%,4e-106,37.94,507,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8693425.1?report=genbank&log$=prottop&blast_rank=86&RID=M3C6TRUW013"",""KAE8693425.1"")"
alpha-humulene/(-)-(E)-beta-caryophyllene synthase [Citrus sinensis],Citrus sinensis,334,334,95%,2e-105,38.88,486,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH9803330.1?report=genbank&log$=prottop&blast_rank=87&RID=M3C6TRUW013"",""KAH9803330.1"")"
(-)-germacrene D synthase-like [Pistacia vera],Pistacia vera,333,333,89%,2e-105,40.95,467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031264315.1?report=genbank&log$=prottop&blast_rank=88&RID=M3C6TRUW013"",""XP_031264315.1"")"
alpha-humulene/(-)-(E)-beta-caryophyllene synthase [Citrus sinensis],Citrus sinensis,333,333,95%,2e-105,38.88,483,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH9651355.1?report=genbank&log$=prottop&blast_rank=89&RID=M3C6TRUW013"",""KAH9651355.1"")"
alpha-humulene/(-)-(E)-beta-caryophyllene synthase [Citrus sinensis],Citrus sinensis,333,333,95%,2e-105,38.88,483,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH9803329.1?report=genbank&log$=prottop&blast_rank=90&RID=M3C6TRUW013"",""KAH9803329.1"")"
hypothetical protein RJ640_004595 [Escallonia rubra],Escallonia rubra,347,618,97%,4e-105,42.27,977,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK2984770.1?report=genbank&log$=prottop&blast_rank=91&RID=M3C6TRUW013"",""KAK2984770.1"")"
hypothetical protein SASPL_101075 [Salvia splendens],Salvia splendens,331,331,89%,5e-105,40.95,432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6436190.1?report=genbank&log$=prottop&blast_rank=92&RID=M3C6TRUW013"",""KAG6436190.1"")"
hypothetical protein ZIOFF_039443 [Zingiber officinale],Zingiber officinale,332,332,92%,8e-105,40.17,474,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG6499653.1?report=genbank&log$=prottop&blast_rank=93&RID=M3C6TRUW013"",""KAG6499653.1"")"
hypothetical protein PRUPE_4G199200 [Prunus persica],Prunus persica,332,332,95%,9e-105,40.08,488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ONI13035.1?report=genbank&log$=prottop&blast_rank=94&RID=M3C6TRUW013"",""ONI13035.1"")"
valencene synthase-like isoform X2 [Momordica charantia],Momordica charantia,332,332,96%,1e-104,38.57,480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_022143530.1?report=genbank&log$=prottop&blast_rank=95&RID=M3C6TRUW013"",""XP_022143530.1"")"
